client_id,recence,freq,montant,pays
12494,15,7,1246.1,France
12498,20,3,403.7,Allemagne
12500,22,11,4257.82,Allemagne
12501,336,1,2169.39,Allemagne
12504,17,2,482.05,Allemagne
12507,133,3,1304.81,Espagne
12509,283,1,176.5,France
12510,142,2,982.57,Espagne
12512,65,2,138.03,Autre
12514,266,1,1017.68,Italie
12516,77,2,1312.06,Allemagne
12517,27,5,2502.84,Allemagne
12518,0,5,2056.89,Allemagne
12519,63,1,340.84,Allemagne
12520,78,5,2634.26,Allemagne
12521,142,1,599.68,Allemagne
12523,18,11,1789.77,France
12528,8,6,1933.48,Allemagne
12530,59,4,1662.28,Allemagne
12531,14,1,125.22,Allemagne
12532,29,1,349.83,France
12536,42,3,12601.83,France
12539,21,4,5568.35,Espagne
12540,19,17,13400.24,Espagne
12541,29,3,981.18,Espagne
12546,46,2,1161.5,Espagne
12547,197,2,207.8,Espagne
12548,165,1,95.2,Espagne
12551,357,1,168.0,Espagne
12553,7,10,3692.28,France
12556,49,2,603.71,Espagne
12559,310,2,561.71,Allemagne
12560,4,3,2134.01,Allemagne
12565,288,1,145.92,Autre
12569,1,32,4124.69,Allemagne
12571,39,2,519.61,France
12572,8,2,1020.42,Allemagne
12574,315,1,218.45,France
12576,35,5,1315.83,Pologne
12578,20,2,2794.51,Italie
12579,77,1,440.42,France
12583,2,15,7281.38,France
12586,16,1,196.94,Italie
12587,7,1,144.0,Finlande
12588,38,1,214.9,Finlande
12590,210,2,9864.26,Allemagne
12592,91,2,437.6,Allemagne
12593,108,3,418.1,France
12594,37,10,3338.22,Italie
12597,18,4,3811.22,Espagne
12598,9,8,3023.08,France
12600,28,10,2599.04,Allemagne
12602,58,1,153.12,France
12612,73,1,704.04,Allemagne
12614,277,1,315.6,Allemagne
12615,1,4,2291.19,France
12618,21,1,177.31,Italie
12619,15,9,3641.24,Allemagne
12620,14,3,1339.41,France
12622,231,1,180.1,Allemagne
12624,105,2,641.13,France
12626,22,9,6620.48,Allemagne
12627,10,7,4478.53,Allemagne
12631,56,1,640.5,Finlande
12633,58,4,2163.98,Allemagne
12635,89,2,1689.18,Allemagne
12637,66,8,6021.9,France
12639,238,1,486.1,Suede
12640,23,3,1174.58,France
12643,127,6,3344.64,France
12644,129,1,477.91,Allemagne
12645,33,4,1775.18,Allemagne
12649,106,3,623.51,Allemagne
12650,2,1,314.44,France
12652,330,1,919.98,France
12654,10,5,601.98,Allemagne
12656,16,5,4051.17,France
12657,10,4,1643.18,France
12660,10,1,245.1,France
12667,57,1,620.13,Finlande
12668,11,4,3807.15,Allemagne
12669,150,3,2744.03,France
12672,329,1,225.9,France
12673,4,2,610.52,Allemagne
12674,38,4,1970.6,France
12678,41,12,17628.46,France
12679,58,4,1113.02,France
12680,0,4,880.81,France
12681,14,22,13787.54,France
12683,3,15,8476.57,France
12685,27,6,2863.08,France
12686,371,1,89.14,France
12688,113,1,4873.81,Autre
12690,205,1,389.01,France
12691,27,6,1035.8,France
12694,69,2,869.67,France
12695,6,4,582.1,France
12701,79,2,797.71,Allemagne
12703,70,1,283.55,Allemagne
12704,6,8,2340.84,Finlande
12705,14,9,6868.29,Allemagne
12707,291,1,603.42,France
12710,96,3,1149.02,Allemagne
12713,0,1,848.55,Allemagne
12715,105,1,353.86,Suede
12717,150,2,1030.98,Grece
12719,4,2,644.95,France
12721,31,6,2656.13,France
12723,3,5,725.07,France
12727,10,7,3980.7,France
12728,70,4,836.33,France
12729,113,1,453.01,France
12733,233,1,383.95,Etats-Unis
12734,352,1,110.4,France
12735,314,2,779.57,France
12739,77,2,1013.04,Autre
12744,51,7,21279.29,Autre
12752,80,1,4366.78,Norvege
12753,22,6,21429.39,Japon
12754,235,3,3010.74,Japon
12756,86,1,112.08,Japon
12758,116,2,2791.59,Portugal
12759,51,3,1531.44,Pays-Bas
12762,7,2,1898.52,Portugal
12764,316,1,1693.88,Autre
12766,3,7,6989.63,Portugal
12770,210,1,1351.45,Japon
12772,59,1,892.47,Portugal
12775,16,5,1386.04,Pays-Bas
12783,1,6,2225.91,Portugal
12784,8,2,574.42,Portugal
12785,363,1,311.95,Portugal
12787,9,3,463.66,Pays-Bas
12789,64,1,91.85,Pays-Bas
12793,334,2,545.48,Portugal
12794,52,2,860.41,Portugal
12795,18,1,430.48,Portugal
12797,365,1,254.03,Portugal
12812,44,1,229.64,Japon
12816,95,2,572.2,Pologne
12817,280,1,166.04,Autriche
12818,261,1,1542.08,Autriche
12829,336,2,293.0,Royaume-Uni
12830,37,6,6814.64,Royaume-Uni
12851,96,1,135.18,Royaume-Uni
12865,25,2,1568.23,Autriche
12866,282,1,559.12,Belgique
12873,281,1,374.0,Royaume-Uni
12876,57,2,2218.02,Belgique
12913,4,5,2483.63,Royaume-Uni
12923,63,1,176.97,Royaume-Uni
12947,143,6,1603.99,Royaume-Uni
12987,73,2,558.7,Royaume-Uni
13006,55,1,81.57,Royaume-Uni
13072,266,1,177.15,Royaume-Uni
13075,129,1,919.61,Royaume-Uni
13098,0,28,28882.44,Royaume-Uni
13115,11,4,2294.78,Royaume-Uni
13120,238,1,30.6,Royaume-Uni
13161,312,1,112.75,Royaume-Uni
13176,45,1,492.84,Royaume-Uni
13182,44,1,121.18,Royaume-Uni
13217,121,3,533.98,Royaume-Uni
13224,59,2,2155.95,Royaume-Uni
13270,365,1,590.0,Royaume-Uni
13359,63,1,439.56,Royaume-Uni
13366,49,1,56.16,Royaume-Uni
13403,17,1,75.0,Royaume-Uni
13410,23,5,1003.06,Royaume-Uni
13466,183,1,307.9,Royaume-Uni
13468,1,37,5704.97,Royaume-Uni
13486,77,3,1122.41,Royaume-Uni
13492,135,3,1269.84,Suisse
13493,274,2,618.63,Suisse
13501,287,1,1340.32,Suisse
13505,72,4,4393.63,Suisse
13515,72,4,891.12,Royaume-Uni
13520,58,6,3624.35,Suisse
13532,33,1,210.31,Royaume-Uni
13562,81,3,1799.33,Royaume-Uni
13602,64,1,428.89,Royaume-Uni
13642,215,1,354.8,Royaume-Uni
13682,186,1,59.5,Royaume-Uni
13697,38,1,151.3,Royaume-Uni
13736,4,2,731.9,Royaume-Uni
13760,53,2,286.79,Royaume-Uni
13802,138,3,4599.42,Royaume-Uni
13805,51,2,924.6,Royaume-Uni
13810,28,3,1499.01,Allemagne
13814,91,2,1579.12,Allemagne
13817,28,2,382.98,Allemagne
13826,175,1,189.5,Royaume-Uni
13837,211,2,271.24,Royaume-Uni
13862,17,8,2209.36,Royaume-Uni
13876,63,1,122.7,Royaume-Uni
13877,85,1,117.24,Royaume-Uni
13890,0,10,1883.81,Royaume-Uni
13897,49,1,311.16,Royaume-Uni
13919,58,2,384.81,Danemark
13941,21,5,5112.96,Royaume-Uni
13969,6,18,9053.94,Royaume-Uni
13985,3,15,7060.13,Royaume-Uni
14001,45,3,2043.08,Royaume-Uni
14036,284,1,626.65,Royaume-Uni
14050,31,2,746.36,Royaume-Uni
14059,266,1,183.6,Royaume-Uni
14098,36,1,147.35,Royaume-Uni
14105,238,1,1266.23,Royaume-Uni
14138,1,2,982.38,Royaume-Uni
14139,45,1,415.82,Royaume-Uni
14156,9,55,117379.63,Irlande
14162,173,2,289.36,Royaume-Uni
14191,1,13,4684.76,Royaume-Uni
14236,80,2,490.86,Royaume-Uni
14237,372,1,161.0,Royaume-Uni
14241,183,1,213.7,Royaume-Uni
14250,6,3,1904.05,Royaume-Uni
14251,1,5,2879.7,Royaume-Uni
14277,14,3,4216.2,France
14297,17,4,1305.33,Royaume-Uni
14301,116,1,640.14,Royaume-Uni
14341,44,8,2182.28,Royaume-Uni
14367,7,16,9261.52,Royaume-Uni
14375,184,1,257.68,Royaume-Uni
14397,2,19,2612.96,Royaume-Uni
14423,217,1,265.2,Royaume-Uni
14427,49,2,363.34,Royaume-Uni
14439,319,1,2661.24,Grece
14467,17,4,598.76,Royaume-Uni
14493,6,5,2383.24,Royaume-Uni
14495,50,2,123.8,Royaume-Uni
14536,259,1,171.8,Royaume-Uni
14539,15,2,537.48,Royaume-Uni
14548,150,2,652.8,Royaume-Uni
14550,10,2,765.62,Royaume-Uni
14601,10,1,213.96,Royaume-Uni
14639,51,6,2984.49,Royaume-Uni
14647,200,1,243.22,Royaume-Uni
14740,196,3,1448.21,Royaume-Uni
14761,58,2,255.9,Royaume-Uni
14799,50,1,157.7,Royaume-Uni
14865,6,2,52.2,Royaume-Uni
14868,2,8,2953.59,Royaume-Uni
14881,19,1,255.4,Royaume-Uni
14895,7,20,11138.71,Royaume-Uni
14896,204,2,468.77,Royaume-Uni
14911,0,201,143825.06,Irlande
14912,16,2,867.85,Italie
14913,35,4,1227.43,Royaume-Uni
14947,71,2,290.82,Royaume-Uni
14952,59,11,8099.49,Royaume-Uni
14963,9,5,1487.8,Royaume-Uni
14967,49,1,463.8,Royaume-Uni
14978,71,5,1931.42,Royaume-Uni
14998,169,2,429.87,Royaume-Uni
15030,71,2,518.28,Royaume-Uni
15032,255,3,4959.1,Royaume-Uni
15048,64,4,384.05,Royaume-Uni
15050,24,3,1782.09,Royaume-Uni
15058,24,11,2124.99,Royaume-Uni
15069,178,1,1109.53,Royaume-Uni
15088,20,2,1160.07,Royaume-Uni
15093,17,6,4597.02,Royaume-Uni
15106,17,5,1422.52,Royaume-Uni
15158,44,1,401.4,Royaume-Uni
15163,17,2,304.47,Royaume-Uni
15192,119,3,1044.32,Royaume-Uni
15198,91,2,193.64,Royaume-Uni
15210,224,1,331.18,Royaume-Uni
15211,59,2,894.41,Royaume-Uni
15213,318,2,328.35,Royaume-Uni
15256,148,1,98.45,Royaume-Uni
15258,168,2,623.16,Royaume-Uni
15312,74,4,924.85,Royaume-Uni
15325,103,1,162.29,Royaume-Uni
15332,365,4,1661.06,Autre
15363,372,1,326.0,Royaume-Uni
15376,39,3,1233.36,Royaume-Uni
15408,263,1,267.18,Royaume-Uni
15423,37,1,43.5,Royaume-Uni
15432,22,1,171.19,Royaume-Uni
15442,248,1,594.0,Royaume-Uni
15456,282,3,447.22,Royaume-Uni
15460,353,1,216.76,Royaume-Uni
15472,112,1,371.56,Royaume-Uni
15480,115,1,905.5,Autre
15537,162,1,110.92,Royaume-Uni
15563,21,4,1400.44,Royaume-Uni
15587,49,4,913.68,Royaume-Uni
15592,46,1,388.58,Royaume-Uni
15628,4,9,2870.24,Royaume-Uni
15720,23,1,598.73,Royaume-Uni
15739,65,1,449.12,Royaume-Uni
15745,18,4,1094.59,Royaume-Uni
15780,183,3,475.28,Royaume-Uni
15786,45,3,4932.2,Royaume-Uni
15793,14,3,965.61,Royaume-Uni
15835,43,4,954.09,Royaume-Uni
15856,3,27,16387.57,Royaume-Uni
15865,40,3,895.13,Royaume-Uni
15974,38,7,3442.15,Royaume-Uni
15976,164,2,430.94,Royaume-Uni
15985,122,2,1142.42,Royaume-Uni
15996,87,6,1060.68,Royaume-Uni
16007,47,4,1701.94,Royaume-Uni
16023,45,3,719.81,Royaume-Uni
16024,11,1,251.24,Royaume-Uni
16135,262,1,517.55,Royaume-Uni
16144,246,1,175.2,Royaume-Uni
16160,64,2,1025.44,Royaume-Uni
16239,56,2,414.2,Royaume-Uni
16253,66,2,3683.86,Royaume-Uni
16261,16,4,746.83,Royaume-Uni
16295,9,4,1328.55,Royaume-Uni
16311,17,2,616.26,Royaume-Uni
16320,171,2,1038.46,Autre
16325,46,3,594.24,Royaume-Uni
16345,43,1,575.41,Royaume-Uni
16369,17,3,1553.66,Royaume-Uni
16392,269,1,221.19,Royaume-Uni
16415,43,1,210.35,Royaume-Uni
16444,45,4,654.67,Royaume-Uni
16450,149,1,311.92,Royaume-Uni
16455,63,7,1841.18,Royaume-Uni
16485,76,1,363.65,Royaume-Uni
16506,19,2,90.3,Royaume-Uni
16520,185,3,1046.57,Royaume-Uni
16572,126,3,1009.6,Royaume-Uni
16614,182,1,506.19,Royaume-Uni
16619,263,1,226.21,Royaume-Uni
16650,71,1,518.42,Royaume-Uni
16666,18,1,118.98,Royaume-Uni
16767,30,11,5580.6,Royaume-Uni
16806,102,4,801.49,Royaume-Uni
16836,39,2,251.87,Royaume-Uni
16847,42,1,193.44,Royaume-Uni
16849,186,1,124.57,Royaume-Uni
16882,66,3,705.12,Royaume-Uni
16905,4,7,3102.43,Royaume-Uni
16910,3,8,1510.06,Royaume-Uni
16917,276,1,391.52,Royaume-Uni
16932,52,1,161.94,Royaume-Uni
16940,51,3,3049.88,Royaume-Uni
16948,138,3,435.02,Royaume-Uni
16969,38,3,650.41,Royaume-Uni
17010,17,1,195.36,Royaume-Uni
17018,40,2,920.1,Royaume-Uni
17040,137,1,449.73,Royaume-Uni
17049,2,9,5659.98,Royaume-Uni
17097,1,8,954.42,Espagne
17119,2,2,606.91,Royaume-Uni
17125,49,1,259.35,Royaume-Uni
17142,238,1,579.0,Royaume-Uni
17147,22,4,1714.59,Royaume-Uni
17155,17,2,251.7,Royaume-Uni
17172,78,1,317.76,Royaume-Uni
17212,252,1,226.85,Royaume-Uni
17232,2,2,421.52,Royaume-Uni
17245,204,1,171.45,Royaume-Uni
17252,116,2,353.86,Royaume-Uni
17274,34,1,111.98,Royaume-Uni
17339,93,2,243.36,Royaume-Uni
17348,14,5,1159.52,Royaume-Uni
17359,10,1,127.86,Royaume-Uni
17404,3,15,31906.82,Suede
17409,184,2,771.85,Royaume-Uni
17418,41,2,463.46,Royaume-Uni
17442,36,6,2248.56,Royaume-Uni
17443,219,1,534.24,Canada
17446,176,2,120.9,Royaume-Uni
17453,17,2,486.72,Royaume-Uni
17508,280,1,387.31,Grece
17516,14,5,768.08,Royaume-Uni
17555,19,2,483.26,Royaume-Uni
17566,7,2,901.21,Royaume-Uni
17573,28,3,380.6,Royaume-Uni
17633,30,4,1324.84,Royaume-Uni
17636,18,1,285.56,Royaume-Uni
17648,60,4,1797.5,Royaume-Uni
17649,137,1,868.49,Royaume-Uni
17676,3,6,1387.68,Royaume-Uni
17679,52,2,1992.11,Royaume-Uni
17694,141,1,283.12,Royaume-Uni
17774,96,4,1225.41,Royaume-Uni
17802,81,3,1285.04,Royaume-Uni
17828,22,4,1820.09,Autre
17829,298,1,889.24,Autre
17884,3,4,717.45,Royaume-Uni
17888,20,8,726.05,Royaume-Uni
17894,71,8,1119.81,Royaume-Uni
17913,58,2,411.6,Royaume-Uni
17921,63,4,826.52,Royaume-Uni
17932,28,3,1331.57,Royaume-Uni
17994,121,4,678.49,Royaume-Uni
18017,80,3,523.0,Royaume-Uni
18110,19,1,236.3,Royaume-Uni
18120,213,1,111.15,Royaume-Uni
18125,29,4,1142.99,Royaume-Uni
18127,18,3,348.73,Royaume-Uni
18151,134,2,653.35,Royaume-Uni
18156,12,2,734.94,Royaume-Uni
18210,1,6,2621.38,Royaume-Uni
18274,29,1,175.92,Royaume-Uni
