prod_id,nb_cmd,qte,ca,prix,pays,clients,part_q4
21385,10,123,104.55,0.85,4,10,0.39
21390,10,256,320.0,1.25,3,9,0.117
21394,18,576,243.36,0.56,8,15,0.048
21395,10,360,140.4,0.39,6,9,0.0
21403,15,391,46.92,0.12,5,10,0.368
21411,17,60,218.2,3.98,4,8,0.494
21428,22,95,395.75,4.23,8,15,0.548
21429,42,315,582.15,1.89,9,30,0.532
21430,47,194,727.5,3.75,10,33,0.464
21439,11,470,587.5,1.25,7,8,0.255
21452,27,184,523.6,2.94,9,26,0.355
21467,10,55,206.25,3.75,5,7,0.018
21469,13,75,281.25,3.75,4,6,0.253
21470,14,64,240.0,3.75,4,6,0.219
21471,15,74,277.5,3.75,5,8,0.027
21479,26,126,495.5,3.96,6,23,0.784
21481,51,393,1287.03,3.35,12,34,0.531
21484,32,190,722.3,3.86,7,24,0.649
21485,56,420,1927.8,4.91,11,35,0.436
21494,21,293,366.25,1.25,6,14,0.754
21495,11,275,115.5,0.42,4,9,0.545
21497,27,700,294.0,0.42,7,19,0.179
21498,45,1335,560.7,0.42,8,27,0.3
21499,30,950,387.0,0.42,10,25,0.457
21500,26,700,294.0,0.42,10,21,0.321
21506,32,480,201.6,0.42,7,23,0.35
21507,28,480,197.28,0.42,6,20,0.387
21508,13,156,65.52,0.42,3,9,0.154
21509,23,372,156.24,0.42,4,19,0.452
21519,24,504,203.04,0.42,5,9,0.174
21523,53,312,2247.9,7.83,6,23,0.145
21524,46,334,2382.45,7.72,9,21,0.207
21527,12,38,302.1,7.95,5,10,0.421
21531,34,254,626.1,2.52,7,19,0.353
21533,25,254,1248.9,4.92,7,19,0.083
21535,43,344,834.0,2.53,7,28,0.159
21537,11,66,280.5,4.25,6,7,0.758
21539,32,255,1161.45,4.88,6,17,0.128
21544,24,329,279.65,0.85,5,16,0.234
21558,43,256,652.8,2.55,5,26,0.277
21559,94,665,1668.75,2.55,10,54,0.22
21561,27,168,428.4,2.55,9,22,0.071
21576,11,56,126.0,2.25,7,10,0.446
21577,19,132,297.0,2.25,5,13,0.5
21578,29,254,571.5,2.25,10,25,0.146
21584,11,107,176.55,1.65,4,10,0.383
21588,15,108,275.4,2.55,3,9,0.574
21592,17,161,201.25,1.25,3,10,0.186
21615,10,122,167.5,1.5,6,10,0.642
21621,17,70,595.0,8.5,6,15,0.329
21623,10,17,169.15,9.95,3,8,0.588
21642,12,576,193.92,0.34,3,9,0.323
21658,14,89,338.11,3.91,3,9,0.012
21668,43,1034,1232.98,1.3,7,24,0.194
21669,28,462,601.26,1.36,10,19,0.358
21670,23,300,403.8,1.35,7,16,0.382
21671,28,385,511.45,1.34,9,21,0.355
21672,45,615,818.15,1.34,8,27,0.304
21673,30,404,541.0,1.34,8,21,0.349
21679,13,158,134.3,0.85,6,11,0.652
21680,27,511,434.35,0.85,5,23,0.2
21700,31,696,591.6,0.85,8,19,0.241
21703,23,3220,920.4,0.39,7,18,0.283
21704,29,422,358.7,0.85,6,16,0.526
21706,12,52,257.4,4.95,4,6,0.231
21715,16,201,498.15,2.52,10,15,0.082
21716,12,154,392.7,2.55,8,12,0.0
21731,149,2994,4853.7,1.65,14,78,0.461
21733,49,658,1785.9,2.86,10,29,0.568
21744,12,64,188.8,2.95,3,10,0.797
21745,14,71,266.25,3.75,4,8,0.0
21746,25,492,578.52,1.23,6,17,0.052
21754,49,261,1528.05,5.96,7,30,0.268
21755,29,131,768.95,6.02,6,24,0.223
21756,17,102,581.7,5.9,6,13,0.073
21770,48,234,1107.9,4.92,12,30,0.304
21786,13,532,194.64,0.4,7,11,0.216
21787,19,891,670.95,0.82,6,13,0.186
21788,10,195,165.75,0.85,6,10,0.246
21790,93,3261,2300.97,0.82,4,39,0.339
21791,62,1006,1257.5,1.25,10,46,0.42
21810,15,576,275.38,0.5,3,12,0.714
21829,27,1297,265.89,0.21,8,25,0.175
21832,14,173,285.45,1.65,9,11,0.584
21833,10,333,533.97,1.67,2,6,0.085
21843,77,436,4774.2,10.95,9,44,0.179
21844,22,216,637.2,2.95,8,15,0.25
21868,11,135,168.75,1.25,4,11,0.089
21870,10,89,111.25,1.25,2,8,0.539
21871,22,327,443.47,1.41,6,16,0.635
21872,13,286,321.02,1.21,4,9,0.236
21874,14,250,304.34,1.37,4,8,0.195
21877,28,479,620.19,1.34,6,17,0.467
21878,10,77,65.45,0.85,5,10,0.013
21880,28,424,198.32,0.55,7,23,0.295
21881,13,204,88.44,0.51,5,11,0.316
21883,23,437,173.65,0.55,6,20,0.386
21884,10,123,57.87,0.56,5,10,0.225
21888,37,407,1487.37,3.73,9,23,0.219
21889,46,1173,1466.25,1.25,9,31,0.361
21890,15,255,622.05,2.96,6,13,0.048
21891,32,1172,1371.32,1.35,8,24,0.167
21892,33,342,427.5,1.25,7,25,0.482
21899,13,144,93.6,0.65,2,10,0.278
21900,15,198,128.7,0.65,2,12,0.187
21901,11,122,79.3,0.65,2,8,0.27
21902,10,94,61.1,0.65,2,7,0.404
21906,21,135,885.65,6.71,11,16,0.091
21907,36,342,706.2,2.09,8,27,0.217
21908,33,697,1355.7,2.07,8,20,0.199
21912,33,420,1249.56,3.65,5,13,0.192
21913,11,47,176.25,3.75,4,8,0.426
21914,70,1249,1561.25,1.25,11,39,0.429
21915,76,1769,2165.65,1.25,11,40,0.339
21916,10,110,46.2,0.42,3,9,0.445
21917,14,557,233.94,0.42,6,13,0.127
21918,28,1021,411.54,0.42,10,24,0.167
21928,40,730,1349.74,2.03,7,25,0.347
21929,47,712,1348.28,2.02,9,29,0.247
21930,24,276,529.52,2.05,4,11,0.212
21931,56,695,1340.36,2.03,12,33,0.342
21932,30,220,420.2,2.04,9,22,0.045
21933,23,223,429.85,1.86,8,20,0.044
21935,18,167,275.55,1.65,8,17,0.365
21936,63,636,1796.2,2.93,11,35,0.021
21937,31,368,1005.6,2.9,9,22,0.009
21955,13,39,286.65,7.79,5,10,0.0
21967,17,516,165.24,0.33,7,17,0.227
21974,33,325,471.25,1.45,9,24,0.492
21975,67,1692,883.8,0.55,11,40,0.179
21976,50,1347,725.25,0.55,11,40,0.264
21977,88,3699,1894.05,0.54,14,63,0.307
21980,41,1333,414.27,0.32,11,27,0.227
21981,40,1118,339.92,0.31,11,32,0.275
21982,16,576,173.04,0.31,7,13,0.377
21983,14,708,224.52,0.31,5,12,0.334
21984,15,496,154.64,0.32,6,12,0.151
21985,30,729,228.21,0.32,5,21,0.226
21986,19,444,137.16,0.31,7,13,0.136
21987,29,363,235.95,0.65,6,21,0.336
21988,27,358,304.3,0.85,6,20,0.274
21989,31,384,326.4,0.85,7,23,0.292
21990,14,158,207.7,1.37,6,13,0.162
21992,17,109,166.85,1.53,7,14,0.406
21993,20,219,275.45,1.33,7,16,0.322
22024,16,348,137.52,0.41,5,9,0.298
22025,16,336,132.48,0.41,5,10,0.272
22027,56,792,328.32,0.42,9,35,0.2
22028,29,456,187.2,0.42,9,16,0.327
22029,77,1080,453.6,0.42,9,46,0.311
22030,30,480,197.28,0.42,5,20,0.204
22037,49,696,292.32,0.42,8,29,0.259
22045,34,1250,513.0,0.42,10,24,0.447
22046,13,400,168.0,0.42,6,11,0.125
22055,23,200,259.34,1.39,5,16,0.248
22059,21,248,228.72,1.17,6,14,0.388
22061,19,48,421.6,9.58,5,12,0.434
22063,17,132,254.04,2.42,6,14,0.197
22064,11,126,207.9,1.65,6,8,0.206
22065,11,370,173.98,0.68,3,7,0.659
22070,12,77,288.75,3.75,7,9,0.61
22071,10,50,187.5,3.75,6,10,0.84
22072,17,88,235.0,3.19,4,10,0.489
22073,10,88,312.72,3.68,6,7,0.221
22075,10,63,98.91,1.4,4,10,0.533
22077,102,1155,2024.85,1.75,12,59,0.357
22078,24,177,371.7,2.1,7,20,0.384
22079,23,184,303.6,1.65,6,18,0.424
22080,22,183,301.95,1.65,6,20,0.607
22081,13,120,198.0,1.65,5,12,0.167
22082,33,324,534.6,1.65,8,25,0.383
22083,39,404,1127.8,2.92,8,27,0.263
22084,24,212,609.4,2.93,3,19,0.0
22085,10,73,199.35,2.91,4,9,0.104
22086,84,1861,4977.95,2.86,6,48,0.751
22087,15,200,542.0,2.87,7,12,0.005
22088,18,234,626.3,2.88,7,12,0.168
22089,21,142,402.9,2.93,5,16,0.073
22090,75,945,2611.75,2.9,11,46,0.095
22094,13,158,62.48,0.45,3,11,0.282
22098,16,151,113.93,0.79,6,13,0.556
22099,13,220,161.52,0.62,8,12,0.097
22109,15,89,322.23,3.73,6,13,0.442
22110,17,118,300.9,2.55,5,11,0.576
22111,66,509,2301.15,4.9,9,36,0.568
22112,59,580,2619.0,4.89,7,27,0.488
22113,41,265,1033.29,4.03,8,24,0.706
22114,38,242,948.7,4.16,7,25,0.615
22115,13,103,122.41,1.45,3,13,0.218
22119,11,69,352.35,6.44,5,8,0.547
22120,17,77,731.35,9.78,6,14,0.204
22123,10,100,183.16,2.52,5,9,0.489
22128,14,228,285.0,1.25,9,14,0.184
22130,10,144,122.4,0.85,4,7,0.917
22131,19,144,280.8,1.95,7,10,0.375
22132,11,201,170.85,0.85,5,9,0.184
22138,127,602,2879.1,4.93,15,85,0.476
22139,135,818,3948.3,4.92,14,77,0.382
22141,41,287,602.7,2.1,6,27,0.78
22142,33,340,493.0,1.45,7,30,0.726
22144,48,401,842.1,2.1,7,38,0.746
22147,41,375,543.75,1.45,7,26,0.283
22148,17,175,341.25,1.95,6,15,0.069
22149,45,339,704.9,2.09,8,30,0.175
22150,44,455,839.25,1.92,7,26,0.549
22151,20,1016,426.72,0.42,6,15,0.076
22158,13,218,617.5,2.92,3,9,0.924
22161,11,468,88.92,0.19,5,8,0.769
22169,24,67,555.9,8.43,7,15,0.26
22170,10,52,331.8,6.59,2,7,0.0
22171,15,39,321.3,8.45,4,10,0.106
22173,20,188,547.3,3.02,6,14,0.403
22174,12,134,221.1,1.65,6,9,0.269
22175,16,112,330.4,2.95,4,11,0.839
22176,13,121,337.75,2.92,6,10,0.581
22178,70,1628,2335.08,1.44,7,29,0.434
22179,19,254,1541.7,6.5,6,11,0.264
22180,21,67,631.85,9.81,7,15,0.319
22181,12,209,177.65,0.85,6,8,0.483
22186,11,113,225.35,2.04,3,10,0.792
22187,12,135,286.25,2.52,2,10,0.807
22188,11,35,138.25,3.95,3,11,0.343
22189,29,149,588.55,3.95,7,19,0.329
22191,44,127,1048.9,8.44,8,27,0.386
22192,35,165,1320.9,8.35,8,22,0.23
22193,43,175,1416.1,8.38,7,23,0.375
22195,22,222,366.3,1.65,7,16,0.414
22196,23,289,245.65,0.85,7,17,0.401
22197,124,4579,3554.15,0.83,11,46,0.426
22199,21,95,340.75,3.68,5,16,0.376
22200,17,72,261.0,3.72,5,15,0.381
22203,16,74,247.5,3.44,6,14,0.242
22208,18,148,162.2,1.01,5,13,0.343
22209,16,155,178.67,1.14,5,13,0.13
22210,17,141,136.71,0.93,6,14,0.485
22211,14,119,108.61,0.89,5,11,0.558
22212,20,183,384.3,2.1,7,14,0.503
22215,26,139,1040.8,8.01,6,17,0.182
22220,12,42,316.5,8.66,5,10,0.591
22221,14,38,294.1,8.95,7,13,0.391
22222,18,114,384.3,4.45,5,16,0.392
22228,13,156,93.04,0.67,4,7,0.36
22232,12,234,214.38,0.86,9,10,0.516
22236,19,70,827.7,12.47,7,13,0.267
22243,19,427,685.35,1.64,7,16,0.125
22244,16,360,673.2,1.93,7,13,0.104
22262,15,288,244.8,0.85,5,10,0.042
22268,10,254,85.88,0.59,4,6,0.425
22269,10,217,91.51,0.48,3,3,0.682
22271,35,250,718.3,2.94,11,26,0.425
22273,40,304,858.4,2.93,13,32,0.66
22274,32,242,694.7,2.94,9,24,0.459
22276,10,67,170.85,2.55,5,8,0.119
22278,13,53,262.35,4.95,4,9,0.377
22282,12,36,444.6,12.6,6,6,0.627
22283,19,53,421.35,7.95,4,7,0.453
22294,10,288,360.0,1.25,5,10,0.417
22295,12,158,260.7,1.65,3,10,0.139
22296,22,498,821.7,1.65,5,17,0.177
22297,14,230,287.5,1.25,4,11,0.313
22300,18,138,351.9,2.55,7,14,0.522
22301,25,199,507.45,2.55,8,19,0.452
22302,40,386,935.7,2.52,6,30,0.229
22303,49,527,1279.05,2.51,6,29,0.251
22305,12,511,1108.65,2.48,4,9,0.0
22311,15,116,342.2,2.95,7,11,0.586
22312,25,203,598.85,2.95,8,13,0.512
22313,14,128,377.6,2.95,6,10,0.469
22314,18,138,431.1,3.06,5,11,0.507
22315,12,144,180.0,1.25,5,11,0.111
22317,12,67,197.65,2.95,7,10,0.269
22318,17,92,271.4,2.95,6,13,0.207
22319,11,204,99.48,0.61,5,10,0.373
22320,20,81,481.95,5.95,8,16,0.37
22325,10,46,227.7,4.95,6,9,0.261
22326,188,2244,6389.4,2.93,15,82,0.343
22327,20,121,356.95,2.95,4,14,0.24
22328,118,969,2839.35,2.95,13,60,0.283
22329,35,445,724.65,1.64,9,29,0.164
22331,39,410,657.3,1.64,8,28,0.354
22332,13,122,201.3,1.65,4,11,0.393
22333,53,849,1333.65,1.63,10,38,0.195
22334,13,105,173.25,1.65,5,12,0.076
22338,15,711,169.13,0.34,5,8,0.864
22340,17,352,165.12,0.53,8,12,0.823
22343,11,390,256.86,0.64,5,8,0.22
22348,36,1088,924.8,0.85,8,18,0.556
22352,75,560,1401.0,2.54,10,42,0.231
22354,10,165,575.55,3.64,5,6,0.242
22355,64,875,717.75,0.85,8,37,0.301
22356,66,746,634.1,0.85,10,35,0.304
22357,13,81,326.25,4.17,7,11,0.208
22358,12,93,274.35,2.95,4,10,0.075
22360,14,93,264.75,2.92,5,11,0.298
22363,10,283,738.85,2.87,5,7,0.0
22365,22,105,769.95,7.67,8,12,0.267
22366,22,90,673.2,7.8,8,16,0.303
22367,76,601,1141.95,1.94,14,55,0.273
22371,25,128,529.6,4.23,6,14,0.567
22372,14,51,213.15,4.23,5,9,0.462
22374,31,139,583.55,4.24,8,21,0.35
22375,16,81,337.05,4.23,6,10,0.252
22376,14,54,229.5,4.25,6,10,0.296
22377,16,190,311.5,1.85,7,16,0.135
22378,21,230,383.0,1.93,8,16,0.171
22379,45,422,873.7,2.09,8,20,0.286
22380,29,232,474.7,2.09,8,16,0.133
22381,31,265,544.0,2.09,8,13,0.154
22382,102,1276,2105.4,1.65,10,58,0.218
22383,72,851,1384.15,1.65,10,43,0.197
22384,102,1089,1776.85,1.65,11,51,0.146
22385,55,805,1563.13,2.04,9,32,0.24
22386,71,1707,3210.37,2.04,9,34,0.365
22390,11,150,161.94,1.5,4,10,0.496
22396,17,228,125.48,0.6,8,16,0.409
22398,38,481,296.81,0.66,9,29,0.256
22399,23,265,331.25,1.25,8,21,0.117
22400,18,198,159.78,0.72,7,15,0.176
22402,16,205,155.63,0.71,7,13,0.128
22403,15,181,81.63,0.45,5,15,0.463
22411,61,897,1704.6,2.03,9,36,0.211
22412,12,104,218.4,2.1,3,9,0.135
22413,53,574,1674.1,2.94,10,33,0.185
22416,20,356,516.2,1.45,10,19,0.135
22417,70,2451,1285.65,0.54,13,48,0.409
22418,25,706,600.1,0.85,8,20,0.255
22419,26,560,229.2,0.42,5,15,0.492
22421,10,187,72.54,0.41,2,9,0.815
22422,11,150,97.5,0.65,7,11,0.36
22423,267,2034,23514.3,12.4,18,119,0.319
22424,30,79,935.25,12.51,3,17,0.15
22425,11,67,309.25,4.82,3,6,0.016
22426,18,71,240.65,3.66,3,12,0.125
22427,39,165,951.75,5.91,6,23,0.075
22429,32,297,1172.25,4.23,5,18,0.025
22430,18,99,467.65,4.88,6,11,0.085
22431,44,294,573.3,1.95,8,28,0.041
22432,35,211,411.45,1.95,8,25,0.057
22433,25,143,278.85,1.95,7,17,0.0
22434,17,277,540.15,1.95,7,16,0.076
22435,31,700,819.9,1.23,7,18,0.276
22436,14,287,186.55,0.65,6,13,0.303
22437,28,533,453.05,0.85,7,20,0.231
22439,10,140,91.0,0.65,3,9,0.207
22440,12,312,131.04,0.42,6,10,0.141
22445,19,131,386.45,2.95,8,14,0.405
22449,16,93,311.55,3.35,6,13,0.269
22452,14,76,224.2,2.95,7,11,0.237
22456,21,80,396.0,4.95,3,16,0.187
22457,61,421,1241.95,2.95,6,39,0.413
22464,14,116,180.22,1.53,4,10,0.643
22465,17,166,252.4,1.5,4,9,0.68
22466,25,523,947.85,1.93,8,18,0.369
22467,61,1155,2605.05,2.42,10,30,0.307
22468,12,107,664.65,6.62,6,12,0.03
22469,64,764,1235.0,1.64,10,40,0.404
22470,40,317,915.95,2.94,4,24,0.37
22471,13,46,203.7,4.72,6,12,0.51
22472,18,83,362.85,4.62,7,9,0.55
22473,11,47,160.65,4.13,5,7,0.538
22474,13,39,166.05,4.49,7,11,0.404
22478,15,212,265.0,1.25,5,7,0.425
22481,10,66,62.58,1.17,3,7,0.38
22483,17,237,641.55,2.93,9,11,0.253
22485,17,37,471.75,12.75,7,16,0.189
22487,31,45,436.15,9.86,7,21,0.205
22488,17,133,219.45,1.65,3,13,0.391
22489,35,2654,1045.56,0.41,11,25,0.286
22491,21,953,753.89,0.83,9,17,0.358
22492,70,6481,4155.05,0.65,14,40,0.208
22493,17,196,323.4,1.65,4,14,0.622
22494,16,243,285.51,1.24,10,15,0.127
22499,16,67,398.65,5.95,5,13,0.134
22501,28,96,885.6,9.79,4,18,0.0
22502,23,262,1342.9,5.6,5,15,0.136
22504,13,31,640.45,22.95,5,12,0.54
22505,33,254,1156.5,4.91,6,26,0.214
22507,33,126,623.7,4.95,7,24,0.325
22508,19,61,228.75,3.75,6,16,0.623
22509,17,36,446.2,15.3,6,13,0.372
22520,11,110,93.5,0.85,5,10,0.009
22522,11,104,88.4,0.85,5,10,0.01
22523,10,92,78.2,0.85,5,10,0.0
22530,19,946,397.32,0.42,9,16,0.431
22531,18,938,359.4,0.42,7,14,0.197
22534,27,1334,514.2,0.42,9,23,0.224
22536,16,1942,694.68,0.39,5,11,0.163
22537,12,221,92.82,0.42,5,11,0.661
22539,21,697,292.74,0.42,10,18,0.207
22540,14,865,323.46,0.4,7,10,0.153
22544,24,1249,484.74,0.41,10,20,0.185
22548,20,721,672.29,1.17,5,14,0.039
22549,36,704,963.2,1.43,8,26,0.483
22550,33,336,1015.92,3.65,9,18,0.122
22551,116,2228,3580.2,1.64,14,71,0.237
22553,46,622,1007.1,1.65,8,33,0.364
22554,152,2735,4416.75,1.64,14,81,0.27
22555,85,1492,2385.0,1.64,12,54,0.32
22556,135,2200,3591.6,1.65,14,69,0.271
22557,57,728,1162.8,1.65,11,40,0.216
22558,84,1516,2262.36,1.57,11,51,0.274
22560,25,768,877.92,1.23,4,18,0.283
22561,43,1039,1584.75,1.63,9,27,0.188
22562,21,216,270.0,1.25,5,20,0.255
22563,28,295,368.75,1.25,6,26,0.292
22564,10,100,125.0,1.25,3,10,0.4
22567,29,395,513.91,1.37,10,18,0.418
22568,39,271,990.33,3.73,7,24,0.434
22569,37,236,876.36,3.74,8,24,0.231
22570,36,234,857.34,3.73,8,24,0.144
22571,30,398,338.3,0.85,9,24,0.751
22572,19,214,181.9,0.85,7,15,0.832
22573,21,343,291.55,0.85,6,17,0.843
22574,18,240,204.0,0.85,7,14,0.675
22575,10,62,120.9,1.95,5,9,0.823
22576,16,230,195.5,0.85,6,10,0.739
22577,50,1209,400.45,0.37,8,33,0.915
22578,49,1335,447.63,0.32,9,31,0.863
22579,38,809,283.33,0.36,9,28,0.723
22580,26,160,952.0,5.95,8,18,0.812
22582,10,523,1268.85,2.5,10,10,0.038
22583,12,125,318.75,2.55,8,11,0.136
22584,13,520,1261.2,2.52,9,11,0.044
22585,45,1601,1809.73,1.22,9,36,0.368
22588,10,60,167.28,2.82,7,10,0.518
22593,20,319,271.15,0.85,7,16,0.699
22594,14,218,185.3,0.85,7,11,0.67
22595,36,582,494.7,0.85,8,24,0.498
22596,21,390,429.02,1.05,3,15,0.493
22597,11,403,164.47,0.54,4,10,0.701
22600,18,280,238.0,0.85,7,15,0.636
22601,27,422,358.7,0.85,9,19,0.659
22602,16,228,193.8,0.85,5,15,0.456
22603,15,160,136.0,0.85,6,14,0.888
22605,34,103,1385.85,14.11,8,21,0.123
22606,14,35,481.45,15.04,5,13,0.066
22607,21,55,535.65,9.88,5,15,0.037
22609,14,792,152.64,0.19,5,11,0.368
22610,17,972,186.84,0.19,6,13,0.41
22613,21,367,299.47,0.84,8,18,0.139
22614,21,553,174.77,0.31,9,20,0.161
22615,13,660,215.4,0.31,7,12,0.261
22616,25,1200,403.2,0.33,4,18,0.56
22617,63,198,980.1,4.95,14,52,0.348
22619,37,206,772.5,3.75,10,31,0.442
22620,62,663,925.95,1.4,10,34,0.305
22621,40,729,1127.05,1.6,9,29,0.579
22622,31,103,1130.85,11.37,9,19,0.451
22623,32,263,1333.85,5.56,7,16,0.311
22624,84,309,2518.55,8.45,9,37,0.273
22625,72,347,2786.3,8.41,9,36,0.324
