cmd_id,date,jour,ca,nart,qte,pays,client_id
538311,2010-12-10 13:48,vendredi,311.95,14,131,Portugal,12785
538397,2010-12-12 11:44,dimanche,3590.59,48,2409,Japon,12753
538525,2010-12-13 09:39,lundi,881.01,20,300,Espagne,12540
538636,2010-12-13 13:50,lundi,676.54,41,272,Royaume-Uni,14639
538644,2010-12-13 14:39,lundi,12.45,2,2,Allemagne,12476
538679,2010-12-13 17:03,lundi,150.68,11,52,Royaume-Uni,16455
538707,2010-12-14 10:38,mardi,167.86,43,77,Royaume-Uni,17894
538826,2010-12-14 12:58,mardi,1590.82,83,917,Chypre,12370
538848,2010-12-14 13:28,mardi,1188.0,1,240,Suede,17404
538870,2010-12-14 14:54,mardi,85.75,5,125,Royaume-Uni,12829
539007,2010-12-15 13:00,mercredi,105.88,17,34,Royaume-Uni,17894
539036,2010-12-15 14:35,mercredi,300.87,17,423,Royaume-Uni,14913
539041,2010-12-15 15:34,mercredi,243.22,26,434,Royaume-Uni,15456
539084,2010-12-16 09:31,jeudi,190.35,11,93,Royaume-Uni,13890
539112,2010-12-16 11:15,jeudi,328.77,19,119,Royaume-Uni,13468
539113,2010-12-16 11:24,jeudi,4.95,1,3,France,12494
539118,2010-12-16 11:27,jeudi,270.19,22,315,Royaume-Uni,15563
539318,2010-12-16 19:09,jeudi,892.8,17,1254,Finlande,12348
539320,2010-12-16 19:16,jeudi,707.06,18,358,Irlande,14911
539327,2010-12-17 09:24,vendredi,198.3,5,43,Allemagne,12600
539330,2010-12-17 09:38,vendredi,277.2,8,51,Chypre,12370
539338,2010-12-17 10:54,vendredi,2646.3,25,3714,Suede,17404
539351,2010-12-17 11:23,vendredi,168.0,10,100,Espagne,12551
539379,2010-12-17 11:43,vendredi,177.15,12,65,Royaume-Uni,15780
539391,2010-12-17 11:51,vendredi,291.34,11,60,Belgique,12417
539395,2010-12-17 11:52,vendredi,1484.25,27,444,Allemagne,12471
539398,2010-12-17 11:53,vendredi,29.7,1,6,Allemagne,12471
539416,2010-12-17 13:56,vendredi,29.43,3,52,Royaume-Uni,17888
539435,2010-12-17 14:46,vendredi,180.0,5,65,France,12691
539446,2010-12-17 15:58,vendredi,858.0,30,397,Allemagne,12705
539447,2010-12-17 16:00,vendredi,333.82,19,225,Belgique,12395
539452,2010-12-17 17:06,vendredi,741.22,9,266,Royaume-Uni,15856
539464,2010-12-19 11:35,dimanche,218.05,31,100,Royaume-Uni,17913
539466,2010-12-19 12:46,dimanche,469.87,24,337,Allemagne,12668
539473,2010-12-19 14:24,dimanche,411.1,18,155,Irlande,14911
539488,2010-12-20 09:37,lundi,1001.52,43,604,Suisse,12377
539551,2010-12-20 11:38,lundi,286.6,15,129,France,12721
539580,2010-12-20 12:51,lundi,289.74,16,177,Royaume-Uni,15312
539607,2010-12-20 14:10,lundi,1084.59,47,604,France,12681
539647,2010-12-20 16:08,lundi,216.76,58,109,Royaume-Uni,15460
539676,2010-12-21 10:54,mardi,237.93,16,188,Belgique,12423
539688,2010-12-21 11:00,mardi,150.0,1,1,France,12678
539722,2010-12-21 13:45,mardi,762.3,28,344,Irlande,14911
539727,2010-12-21 14:26,mardi,71.28,4,25,France,12678
539829,2010-12-22 12:47,mercredi,110.4,4,88,France,12734
539836,2010-12-22 13:46,mercredi,135.34,21,72,Royaume-Uni,17894
539865,2010-12-23 09:59,jeudi,344.88,3,120,Royaume-Uni,15587
539946,2010-12-23 11:46,jeudi,128.7,9,63,Allemagne,13817
539984,2010-12-23 14:58,jeudi,289.85,15,108,Irlande,14911
539985,2010-12-23 15:16,jeudi,968.77,14,387,Royaume-Uni,15856
540040,2011-01-04 14:20,mardi,547.56,13,293,Suede,12483
540178,2011-01-05 12:42,mercredi,556.07,34,362,France,12681
540183,2011-01-05 13:37,mercredi,1220.4,21,628,Royaume-Uni,15093
540351,2011-01-06 14:26,jeudi,319.77,22,263,France,12735
540365,2011-01-06 16:12,jeudi,479.25,24,180,France,12413
540404,2011-01-07 09:40,vendredi,301.66,16,235,Royaume-Uni,12947
540410,2011-01-07 10:04,vendredi,387.4,13,95,Allemagne,12530
540420,2011-01-07 11:13,vendredi,207.25,6,251,Royaume-Uni,12829
540455,2011-01-07 12:07,vendredi,730.16,22,491,France,12583
540458,2011-01-07 12:28,vendredi,2169.39,149,1783,Allemagne,12501
540469,2011-01-07 14:04,vendredi,1138.67,98,630,Espagne,12484
540518,2011-01-09 12:03,dimanche,97.5,7,58,Royaume-Uni,14761
540519,2011-01-09 12:12,dimanche,413.68,17,230,Portugal,12793
540520,2011-01-09 12:31,dimanche,195.45,49,156,Royaume-Uni,17555
540546,2011-01-09 15:56,dimanche,686.48,35,411,Portugal,12766
540547,2011-01-09 16:07,dimanche,258.0,13,85,Irlande,14911
540550,2011-01-10 09:11,lundi,1715.85,93,643,Espagne,12539
540553,2011-01-10 09:48,lundi,344.94,5,243,Allemagne,12500
540642,2011-01-10 13:22,lundi,1238.06,50,635,France,12681
540770,2011-01-11 10:40,mardi,145.75,7,49,Royaume-Uni,13468
540789,2011-01-11 11:48,mardi,871.2,2,578,France,12643
540801,2011-01-11 12:25,mardi,1147.18,31,475,Espagne,12540
540824,2011-01-11 13:31,mardi,252.54,13,122,France,12728
540838,2011-01-11 15:13,mardi,425.1,27,308,Royaume-Uni,13862
540851,2011-01-12 09:43,mercredi,102.95,7,43,France,12523
540972,2011-01-12 14:13,mercredi,392.7,7,134,France,12437
540976,2011-01-12 15:00,mercredi,919.98,48,505,France,12652
541003,2011-01-13 10:35,jeudi,301.11,15,155,Royaume-Uni,15835
541018,2011-01-13 12:03,jeudi,310.26,38,99,Royaume-Uni,14978
541093,2011-01-13 13:21,jeudi,753.45,7,100,Allemagne,12471
541115,2011-01-13 15:34,jeudi,1608.66,70,748,Italie,12578
541120,2011-01-14 09:13,vendredi,864.22,43,548,France,12490
541121,2011-01-14 09:20,vendredi,225.9,10,78,France,12672
541125,2011-01-14 10:06,vendredi,47.5,2,11,Allemagne,12474
541138,2011-01-14 10:42,vendredi,700.31,38,446,France,12553
541139,2011-01-14 11:05,vendredi,313.2,22,262,Royaume-Uni,15213
541220,2011-01-14 14:11,vendredi,16774.72,41,6198,Irlande,14156
541224,2011-01-14 14:45,vendredi,201.9,11,71,Allemagne,12474
541269,2011-01-17 11:01,lundi,1096.0,53,412,Allemagne,12626
541271,2011-01-17 11:12,lundi,431.3,19,204,Australie,12388
541277,2011-01-17 11:46,lundi,220.9,23,171,Allemagne,12673
541405,2011-01-17 15:17,lundi,732.14,21,268,France,12683
541427,2011-01-18 08:46,mardi,405.0,6,60,Royaume-Uni,17018
541434,2011-01-18 10:22,mardi,465.58,10,287,Irlande,14911
541439,2011-01-18 10:58,mardi,69.6,5,96,Royaume-Uni,16948
541491,2011-01-18 14:04,mardi,681.05,29,294,Espagne,12510
541518,2011-01-19 09:05,mercredi,2919.51,101,2334,Suisse,12451
541520,2011-01-19 09:13,mercredi,238.5,13,113,Australie,12422
541567,2011-01-19 11:51,mercredi,752.75,31,386,France,12681
541569,2011-01-19 12:14,mercredi,685.12,25,319,Suisse,13520
541576,2011-01-19 13:32,mercredi,112.92,23,48,Espagne,17097
541631,2011-01-20 10:47,jeudi,1516.68,72,708,France,12637
541649,2011-01-20 11:39,jeudi,167.39,12,139,Royaume-Uni,17418
541670,2011-01-20 12:34,jeudi,2756.84,21,1332,Irlande,14911
541675,2011-01-20 13:49,jeudi,225.6,11,94,Belgique,12402
541703,2011-01-21 09:52,vendredi,341.0,12,145,Italie,12594
541793,2011-01-21 13:13,vendredi,345.24,19,212,Royaume-Uni,13969
541857,2011-01-23 15:17,dimanche,514.5,12,126,France,12727
541877,2011-01-24 10:12,lundi,486.11,20,247,Allemagne,12559
541932,2011-01-24 11:39,lundi,2661.24,32,526,Grece,14439
541979,2011-01-24 14:54,lundi,282.44,15,47,Irlande,14911
541980,2011-01-24 15:09,lundi,157.45,11,104,Espagne,12421
541981,2011-01-24 15:32,lundi,190.2,9,84,France,12691
541991,2011-01-25 09:11,mardi,323.44,16,108,Belgique,12417
541998,2011-01-25 10:42,mardi,227.44,6,601,Finlande,12348
542081,2011-01-25 12:21,mardi,15.15,2,10,Royaume-Uni,15213
542102,2011-01-25 13:26,mardi,2053.07,56,1091,Autre,12744
542111,2011-01-25 13:55,mardi,224.48,16,170,Royaume-Uni,14341
542113,2011-01-25 13:55,mardi,111.15,7,33,Royaume-Uni,14341
542130,2011-01-25 15:36,mardi,146.1,10,66,Royaume-Uni,13468
542132,2011-01-25 15:59,mardi,36.0,1,2,France,12691
542141,2011-01-26 08:38,mercredi,326.4,2,128,Royaume-Uni,14548
542213,2011-01-26 12:15,mercredi,113.7,9,62,Royaume-Uni,13837
542216,2011-01-26 12:29,mercredi,802.56,52,690,Irlande,14911
542221,2011-01-26 12:40,mercredi,379.28,36,90,Royaume-Uni,14978
542224,2011-01-26 12:45,mercredi,92.7,15,112,Royaume-Uni,17888
542229,2011-01-26 13:38,mercredi,350.4,22,207,Allemagne,12474
542233,2011-01-26 13:46,mercredi,648.8,12,211,Royaume-Uni,13098
542237,2011-01-26 14:30,mercredi,475.39,29,315,Autre,12347
542267,2011-01-26 17:43,mercredi,9.9,1,2,Royaume-Uni,16882
542276,2011-01-27 10:19,jeudi,1693.88,45,386,Autre,12764
542278,2011-01-27 10:43,jeudi,564.05,21,155,Irlande,14911
542303,2011-01-27 11:05,jeudi,1715.85,93,643,Espagne,12539
542369,2011-01-27 13:08,jeudi,369.3,16,235,Allemagne,12645
542373,2011-01-27 13:38,jeudi,1866.02,50,1223,Royaume-Uni,16767
542375,2011-01-27 13:42,jeudi,178.1,6,48,Allemagne,12626
542393,2011-01-27 15:02,jeudi,556.46,83,392,Royaume-Uni,18125
542425,2011-01-28 09:20,vendredi,218.45,11,61,France,12574
542428,2011-01-28 10:00,vendredi,2938.76,21,2804,Suede,17404
542535,2011-01-28 13:37,vendredi,459.8,21,105,France,12735
542586,2011-01-28 15:45,vendredi,626.6,34,340,Suisse,12377
542609,2011-01-30 14:03,dimanche,112.75,8,29,Royaume-Uni,13161
542621,2011-01-31 09:05,lundi,493.53,31,281,Allemagne,12528
542648,2011-01-31 11:46,lundi,549.58,21,131,Allemagne,12476
542692,2011-01-31 12:35,lundi,131.7,15,37,Royaume-Uni,14467
542711,2011-01-31 13:19,lundi,93.6,23,35,Royaume-Uni,17894
542713,2011-01-31 13:27,lundi,1009.8,50,475,Allemagne,12668
542733,2011-01-31 15:35,lundi,120.52,26,28,Royaume-Uni,15058
542735,2011-01-31 15:36,lundi,417.54,18,205,France,12681
542737,2011-01-31 15:52,lundi,178.8,35,103,Royaume-Uni,15058
542777,2011-02-01 08:31,mardi,797.77,45,463,Irlande,14911
542779,2011-02-01 09:36,mardi,409.5,18,250,Royaume-Uni,17147
542797,2011-02-01 11:08,mardi,278.22,29,319,Royaume-Uni,17884
542864,2011-02-01 12:03,mardi,969.74,20,690,Royaume-Uni,13802
542887,2011-02-01 13:10,mardi,364.6,14,197,Autriche,12373
542894,2011-02-01 13:45,mardi,214.45,12,113,Pays-Bas,12775
542905,2011-02-01 15:11,mardi,288.98,12,193,Espagne,12540
542926,2011-02-02 09:49,mercredi,75.6,1,36,Allemagne,12559
542990,2011-02-02 11:43,mercredi,141.3,9,44,Royaume-Uni,13468
543016,2011-02-02 13:57,mercredi,165.0,1,100,Royaume-Uni,18017
543025,2011-02-02 14:40,mercredi,68.1,5,102,Royaume-Uni,17446
543027,2011-02-02 14:51,mercredi,153.76,7,145,Autriche,12414
543030,2011-02-02 15:22,mercredi,150.5,10,207,France,12437
543048,2011-02-03 09:58,jeudi,427.94,8,105,Allemagne,12600
543056,2011-02-03 10:47,jeudi,947.4,16,180,Allemagne,12471
543114,2011-02-03 13:26,jeudi,788.06,40,270,Irlande,14156
543178,2011-02-04 10:31,vendredi,229.6,13,75,Irlande,14911
543179,2011-02-04 10:31,vendredi,45.57,37,37,Japon,12754
543286,2011-02-07 09:50,lundi,972.72,18,444,Royaume-Uni,14952
543349,2011-02-07 13:13,lundi,219.99,26,89,Royaume-Uni,17774
543357,2011-02-07 13:59,lundi,124.05,6,37,Australie,12388
543411,2011-02-08 11:31,mardi,266.85,19,199,Pologne,12576
543413,2011-02-08 11:32,mardi,244.8,3,96,Royaume-Uni,13098
543484,2011-02-09 10:11,mercredi,455.02,27,301,France,12721
543518,2011-02-09 11:21,mercredi,5735.24,48,2962,Japon,12753
543537,2011-02-09 13:50,mercredi,84.3,5,11,Belgique,12401
543618,2011-02-10 14:49,jeudi,160.15,8,53,Royaume-Uni,13468
543625,2011-02-10 15:38,jeudi,321.56,13,454,France,12583
543733,2011-02-11 12:16,vendredi,231.51,14,262,Belgique,12395
543737,2011-02-11 12:45,vendredi,2355.95,52,639,Allemagne,12477
543748,2011-02-11 13:54,vendredi,313.8,7,112,Royaume-Uni,12913
543774,2011-02-11 15:56,vendredi,1078.9,20,730,Royaume-Uni,15856
543798,2011-02-13 11:13,dimanche,178.75,16,86,Royaume-Uni,15058
543822,2011-02-14 09:24,lundi,446.16,13,219,Espagne,12507
543828,2011-02-14 09:45,lundi,2024.57,76,939,Irlande,14156
543833,2011-02-14 10:24,lundi,160.2,8,47,Allemagne,12476
543911,2011-02-14 12:46,lundi,889.24,30,496,Autre,17829
543997,2011-02-15 10:49,mardi,160.15,36,199,Royaume-Uni,17348
544045,2011-02-15 12:12,mardi,1023.84,8,336,Royaume-Uni,13941
544074,2011-02-15 14:49,mardi,856.26,110,470,Irlande,14156
544075,2011-02-15 14:50,mardi,3506.24,23,1932,Irlande,14156
544097,2011-02-16 09:56,mercredi,1683.9,41,1522,Chypre,12455
544115,2011-02-16 11:45,mercredi,919.66,48,777,France,12727
544156,2011-02-16 12:33,mercredi,296.5,15,98,Norvege,12352
544200,2011-02-17 10:08,jeudi,250.0,16,116,France,12494
544203,2011-02-17 10:30,jeudi,479.1,27,229,Belgique,12362
544210,2011-02-17 11:01,jeudi,281.12,14,87,Irlande,14911
544281,2011-02-17 12:23,jeudi,373.98,5,303,Allemagne,12500
544302,2011-02-17 13:16,jeudi,166.6,11,77,Allemagne,12654
544304,2011-02-17 13:47,jeudi,175.75,42,113,Royaume-Uni,18125
544331,2011-02-17 17:05,jeudi,15.0,1,1,Chypre,12455
544390,2011-02-18 11:36,vendredi,162.7,10,61,Irlande,14911
544399,2011-02-18 12:28,vendredi,256.0,13,111,Italie,12594
544423,2011-02-18 15:23,vendredi,6.3,1,15,France,12553
544452,2011-02-20 12:32,dimanche,177.68,13,110,Royaume-Uni,14162
544470,2011-02-21 08:38,lundi,603.42,33,256,France,12707
544474,2011-02-21 09:52,lundi,192.31,15,194,Belgique,12423
544495,2011-02-21 11:42,lundi,973.65,43,454,Portugal,12766
544572,2011-02-21 13:21,lundi,558.59,29,239,Royaume-Uni,14639
544582,2011-02-21 14:38,lundi,250.24,8,140,Royaume-Uni,13410
544585,2011-02-21 14:58,lundi,143.4,8,78,France,12523
544607,2011-02-22 10:00,mardi,253.75,15,169,Royaume-Uni,13862
544634,2011-02-22 11:02,mardi,307.25,44,189,Royaume-Uni,17994
544656,2011-02-22 13:02,mardi,440.83,28,302,Royaume-Uni,17442
544657,2011-02-22 13:08,mardi,2346.34,118,964,Royaume-Uni,14895
544688,2011-02-23 08:29,mercredi,312.55,17,111,Royaume-Uni,18151
544690,2011-02-23 08:48,mercredi,1480.2,15,668,Irlande,14156
544778,2011-02-23 12:03,mercredi,452.91,68,144,Royaume-Uni,14978
544790,2011-02-23 12:27,mercredi,757.68,83,549,Royaume-Uni,16940
544811,2011-02-23 15:53,mercredi,388.3,14,201,Allemagne,12471
544817,2011-02-23 16:44,mercredi,344.0,17,266,France,12437
544818,2011-02-23 16:45,mercredi,95.76,4,96,France,12437
544833,2011-02-24 10:10,jeudi,769.24,32,388,Royaume-Uni,15974
544838,2011-02-24 10:34,jeudi,145.92,9,80,Autre,12565
544926,2011-02-24 17:50,jeudi,105.2,6,32,Royaume-Uni,13468
544931,2011-02-24 18:59,jeudi,1340.32,52,560,Suisse,13501
544933,2011-02-25 08:44,vendredi,1012.82,34,589,Allemagne,12633
544996,2011-02-25 11:53,vendredi,287.58,13,124,Allemagne,12474
545017,2011-02-25 13:51,vendredi,189.9,10,91,Belgique,12361
545019,2011-02-25 13:56,vendredi,759.08,29,813,Royaume-Uni,15093
545034,2011-02-25 16:42,vendredi,179.35,4,66,Suisse,13493
545041,2011-02-27 10:30,dimanche,524.95,16,209,Royaume-Uni,14952
545053,2011-02-27 12:41,dimanche,321.23,64,211,Royaume-Uni,17516
545055,2011-02-27 12:45,dimanche,6.6,1,4,Royaume-Uni,17516
545067,2011-02-27 14:49,dimanche,258.4,29,64,Royaume-Uni,17894
545071,2011-02-27 15:59,dimanche,222.29,33,120,Royaume-Uni,15996
545073,2011-02-28 09:26,lundi,626.65,38,268,Royaume-Uni,14036
545084,2011-02-28 10:55,lundi,441.92,19,270,Suisse,12458
545086,2011-02-28 11:43,lundi,353.43,13,214,France,12678
545105,2011-02-28 11:58,lundi,720.86,26,316,France,12598
545180,2011-02-28 14:42,lundi,200.72,12,73,France,12728
545181,2011-02-28 14:45,lundi,176.5,7,55,France,12509
545221,2011-03-01 08:35,mardi,521.1,30,260,Royaume-Uni,14740
545235,2011-03-01 10:31,mardi,352.2,17,247,France,12683
545301,2011-03-01 12:26,mardi,794.06,42,333,France,12679
545310,2011-03-01 13:45,mardi,17.67,5,21,Royaume-Uni,15456
545312,2011-03-01 13:51,mardi,186.33,29,205,Royaume-Uni,15456
545314,2011-03-01 14:11,mardi,559.12,26,171,Belgique,12866
545320,2011-03-01 14:47,mardi,2541.15,6,669,Irlande,14156
545323,2011-03-01 14:57,mardi,144.35,5,26,Norvege,12352
545332,2011-03-01 15:52,mardi,840.3,3,3,Norvege,12352
545348,2011-03-02 10:49,mercredi,134.97,4,87,Royaume-Uni,12913
545431,2011-03-02 14:58,mercredi,374.0,4,128,Royaume-Uni,12873
545448,2011-03-02 16:35,mercredi,15.3,1,6,Japon,12753
545515,2011-03-03 12:06,jeudi,534.76,28,317,France,12727
545517,2011-03-03 12:20,jeudi,38.4,2,25,France,12727
545536,2011-03-03 14:12,jeudi,410.0,19,126,Belgique,12417
545557,2011-03-03 15:30,jeudi,249.84,5,193,Allemagne,12500
545570,2011-03-03 16:28,jeudi,166.04,4,53,Autriche,12817
545579,2011-03-04 08:10,vendredi,387.31,22,289,Grece,17508
545583,2011-03-04 09:08,vendredi,317.25,16,125,France,12553
545585,2011-03-04 09:32,vendredi,312.4,17,288,Espagne,12541
545634,2011-03-04 12:12,vendredi,308.18,19,264,Irlande,14911
545647,2011-03-04 12:46,vendredi,159.4,6,109,Espagne,12547
545657,2011-03-04 14:02,vendredi,877.31,56,593,Irlande,14911
545718,2011-03-07 10:22,lundi,315.6,20,76,Allemagne,12614
545845,2011-03-07 13:38,lundi,16.05,12,12,Japon,12754
545883,2011-03-07 15:40,lundi,147.95,9,45,Royaume-Uni,15974
545904,2011-03-08 08:52,mardi,126.65,7,43,Royaume-Uni,13468
545916,2011-03-08 11:46,mardi,278.13,13,77,Allemagne,12528
545918,2011-03-08 11:55,mardi,391.52,9,232,Royaume-Uni,16917
545937,2011-03-08 12:05,mardi,1570.19,56,1109,Portugal,12758
545996,2011-03-08 14:12,mardi,983.16,82,480,Royaume-Uni,14367
546027,2011-03-09 08:09,mercredi,444.8,27,277,Pays-Bas,12759
546028,2011-03-09 08:33,mercredi,924.54,40,314,Royaume-Uni,17049
546100,2011-03-09 12:04,mercredi,342.58,21,202,Royaume-Uni,16572
546134,2011-03-09 15:35,mercredi,439.28,4,314,Suisse,13493
546135,2011-03-09 15:47,mercredi,210.9,10,90,Australie,12388
546156,2011-03-10 08:31,jeudi,232.6,11,78,Royaume-Uni,14297
546161,2011-03-10 09:52,jeudi,122.4,1,144,Suede,17404
546172,2011-03-10 10:32,jeudi,585.32,30,264,Irlande,14156
546212,2011-03-10 11:33,jeudi,3500.5,27,2826,Irlande,14156
546213,2011-03-10 11:37,jeudi,1614.6,3,108,Irlande,14156
546236,2011-03-10 12:48,jeudi,938.39,48,1005,Chypre,12370
546255,2011-03-10 14:56,jeudi,245.52,16,180,Royaume-Uni,13468
546263,2011-03-10 15:01,jeudi,461.6,3,218,Irlande,14156
546317,2011-03-11 09:07,vendredi,314.96,25,484,Royaume-Uni,14913
546328,2011-03-11 10:19,vendredi,1687.17,1,1,Irlande,14911
546329,2011-03-11 10:22,vendredi,1687.17,1,1,Irlande,14911
546365,2011-03-11 11:35,vendredi,987.42,60,618,Allemagne,12520
546372,2011-03-11 11:47,vendredi,349.2,7,88,Royaume-Uni,13098
546373,2011-03-11 12:00,vendredi,712.85,20,325,France,12583
546401,2011-03-11 15:14,vendredi,21.9,3,12,Royaume-Uni,17994
546428,2011-03-13 14:55,dimanche,343.29,18,185,France,12681
546509,2011-03-14 12:15,lundi,522.6,31,207,Irlande,14911
546520,2011-03-14 12:28,lundi,706.6,41,498,Irlande,14911
546530,2011-03-14 13:25,lundi,4400.28,27,5156,Suede,17404
546541,2011-03-14 15:11,lundi,596.05,30,231,Irlande,14911
546580,2011-03-15 11:09,mardi,870.59,24,328,Irlande,14911
546635,2011-03-15 12:11,mardi,221.19,45,203,Royaume-Uni,16392
546638,2011-03-15 12:52,mardi,410.7,26,258,Royaume-Uni,15106
546660,2011-03-15 14:32,mardi,1041.45,27,335,Irlande,14156
546678,2011-03-15 16:39,mardi,565.54,29,317,France,12681
546691,2011-03-16 10:45,mercredi,306.64,3,192,Royaume-Uni,15793
546760,2011-03-16 14:00,mercredi,516.15,30,230,Espagne,12597
546765,2011-03-16 14:37,mercredi,147.71,8,98,France,12437
546770,2011-03-16 15:17,mercredi,115.09,8,62,France,12523
546772,2011-03-16 15:34,mercredi,152.76,3,156,Royaume-Uni,15030
546780,2011-03-17 07:40,jeudi,3978.99,19,879,Danemark,12435
546861,2011-03-17 15:03,jeudi,381.78,25,417,Irlande,14911
546869,2011-03-17 16:00,jeudi,120.33,7,63,Norvege,12352
546875,2011-03-17 16:38,jeudi,1017.68,51,440,Italie,12514
546877,2011-03-17 16:58,jeudi,142.4,5,62,Royaume-Uni,18210
546910,2011-03-17 19:46,jeudi,145.55,28,69,Royaume-Uni,13969
546914,2011-03-18 08:12,vendredi,177.15,7,69,Royaume-Uni,13072
546917,2011-03-18 09:17,vendredi,743.71,44,265,Irlande,14911
546919,2011-03-18 09:55,vendredi,241.44,3,169,Allemagne,12500
546920,2011-03-18 09:55,vendredi,845.32,18,296,Allemagne,12471
546921,2011-03-18 09:57,vendredi,33.0,2,12,Allemagne,12471
546924,2011-03-18 10:06,vendredi,183.6,8,128,Royaume-Uni,14059
