vente_id,date,prix,rue,arrondissement,type_local,surface,pieces,longitude,latitude
2024-1220020,27/06/2024,"77000,00 €",AV PARMENTIER,11, Dépendance,,0.0,2.37632,48.86343
2024-1223505,02/09/2024,"454000,00",AV DU GAL MICHEL BIZOT,12, Appartement,46.0,3.0,2.40289,48.83651
2024-1218032,10/06/2024,"470000,00",RUE DU CHAMP DE MARS,7, Appartement,40.0,2.0,2.30385,48.85581
2024-1208642,22/11/2024,"304326,00",ARTS ET METIERS,3, Appartement,20.0,1.0,2.35519,48.86544
2024-1201553,03/07/2024,"340000,00",RUE DE CRIMEE,19,APPARTEMENT,44.0,1.0,2.39169,48.87705
2024-1193801,25/01/2024,"884700,00",RUE LEGENDRE,17,APPARTEMENT,92.0,4.0,2.32198,48.88813
2024-1209195,16/12/2024,"725000,00",RUE RIQUET,19,Appartement,99.0,5.0,2.37671,48.88861
2024-1207787,06.11.2024,"620000,00",RUE NOLLET,17,Appartement ,60.0,3.0,2.31727,48.88962
2024-1193571,16/01/2024,"1244000,00",RUE ROGER BACON,17,Appartement ,113.0,3.0,2.2904,48.8828
2024-1212826,22/02/2024,"252000,00",RUE GREGOIRE DE TOURS,6,Appartement,20.0,1.0,2.33781,48.85362
2024-1200458,12/06/2024,"546000,00",BD BARBES,18,Appartement ,78.0,3.0,2.35004,48.88433
2024-1228752,04.12.2024,"6040000,00",RUE DES PLANTES,14,DÉPENDANCE,,0.0,2.32166,48.8285
2024-1195184,09.02.2024,"1436000,00",AV DE WAGRAM,17,Dépendance ,,0.0,2.30363,48.88639
2024-1208342,27/11/2024,"760000,00",RUE DE BUDAPEST,9,APPARTEMENT,33.0,2.0,2.32725,48.87666
2024-1203377,23.07.2024,"256615,00",RUE SAINT-JOSEPH,2,Local industriel. commercial ou assimilé,65.0,0.0,2.34511,48.8682
2024-1194897,15.02.2024,"287800,00",RUE DU SURMELIN,20, Appartement,33.0,2.0,2.40607,48.86939
2024-1226907,05.11.2024,"537100,00",IMP DU BUREAU,11,Dépendance,,0.0,2.39528,48.852
2024-1223336,18.09.2024,"357700,00",SQ ALBIN CACHOT,13, Appartement,26.0,1.0,2.34335,48.83302
2024-1221928,09.08.2024,"83516,00",RUE DE LILLE,7,Dépendance ,,0.0,2.33022,48.85813
2024-1219433,25.06.2024,"21606678,00",RUE DE MONTREUIL,11,Appartement ,74.0,3.0,2.38759,48.85086
2024-1199625,15.05.2024,"121980,00",RUE DE MENILMONTANT,20, Appartement,78.0,3.0,2.39874,48.87043
2024-1225747,11.10.2024,"360000,00",RUE DU CHAROLAIS,12,Appartement,50.0,3.0,2.38308,48.84319
2024-1194233,06.02.2024,"328150,00 €",RUE FESSART,19,Dépendance ,,0.0,2.38746,48.87648
2024-1207080,30.10.2024,"60000,00 €",RUE DE LISBONNE,8,LOCAL INDUSTRIEL. COMMERCIAL OU ASSIMILÉ,15.0,0.0,2.30923,48.87722
2024-1222621,21.08.2024,"575000,00",RUE D ASSAS,6,Dépendance ,,0.0,2.32839,48.84982
2024-1204069,01/08/2024,"8465000,00 €",AV VAN DYCK,8,Appartement ,55.0,2.0,2.3059,48.87863
2024-1217226,29/04/2024,"185000,00",RUE DES ENTREPRENEURS,15, Dépendance,,0.0,2.28689,48.84584
2024-1217860,28/05/2024,"460000,00",RUE DU FAUBOURG DU TEMPLE,11,Dépendance ,,0.0,2.36869,48.86907
2024-1209937,16.12.2024,"5100000,00",RUE DE POITOU,3,Appartement ,32.0,2.0,2.36303,48.86172
2024-1228983,20/12/2024,"7175000,00",RUE CHERNOVIZ,16,LOCAL INDUSTRIEL. COMMERCIAL OU ASSIMILÉ,12.0,0.0,2.28166,48.85773
2024-1196120,23/02/2024,"3390000,00",RUE D ORSEL,18, Appartement,84.0,4.0,2.34088,48.88331
2024-1218432,14/06/2024,"650000,00",RUE ROBERT FLEURY,15, Appartement,37.0,2.0,2.30102,48.84378
2024-1202989,24/07/2024,"405000,00",RUE LEGENDRE,17, Dépendance,,0.0,2.32657,48.89256
2024-1212442,15.02.2024,"20870,00",RUE AMELOT,11,DÉPENDANCE,,0.0,2.36839,48.86177
2024-1208347,19.11.2024,"179000,00",RUE LESAGE,20,Appartement,24.0,1.0,2.38276,48.87261
2024-1221842,24.07.2024,"939700,00",RUE GUSTAVE COURBET,16,APPARTEMENT,73.0,4.0,2.28128,48.86706
2024-1195874,11/03/2024,"530000,00",AV DES CHAMPS ELYSEES,8,Appartement ,40.0,1.0,2.30468,48.87167
2024-1226567,04/11/2024,"245000,00",AV DE CHOISY,13,Dépendance ,,0.0,2.35778,48.82815
2024-1210307,20.12.2024,"1037300,00",BD DE SEBASTOPOL,2,APPARTEMENT,80.0,3.0,2.35272,48.86734
2024-1196517,28.03.2024,"232000,00",RUE VERSIGNY,18,APPARTEMENT,14.0,1.0,2.34521,48.89452
2024-1196306,28.02.2024,"210000,00",AV BERTIE ALBRECHT,8,Dépendance,,0.0,2.30077,48.8752
2024-1212598,08.02.2024,"40000,00 €",RUE NOTRE-DAME DES CHAMPS,6,APPARTEMENT,9.0,1.0,2.33172,48.84225
2024-1199938,04/06/2024,"84220,00 €",RUE SAINT MAUR,10, Appartement,9.0,1.0,2.37086,48.87337
2024-1200404,18.06.2024,"310000,00",RUE POUCHET,17,Dépendance ,,0.0,2.32012,48.89302
2024-1196362,22.03.2024,"1260000,00",RUE JULES SIEGFRIED,20, Maison,73.0,4.0,2.40745,48.86615
2024-1207769,15/11/2024,"2450000,00",RUE DE TOCQUEVILLE,17,Dépendance,,0.0,2.30457,48.88936
2024-1228633,17/12/2024,"740000,00",BD VOLTAIRE,11,Appartement ,82.0,4.0,2.39187,48.85052
2024-1220471,15/07/2024,"93000,00",RUE DE VAUGIRARD,6, Dépendance,,0.0,2.33008,48.84775
2024-1197249,03.04.2024,"1188000,00",BD DE COURCELLES,8,Dépendance ,,0.0,2.3022,48.87863
2024-1220537,09/07/2024,"470000,00 €",RUE ERARD,12,Appartement ,29.0,1.0,2.38522,48.84626
2024-1209791,20/12/2024,"9200000,00 €",RUE DU TEMPLE,4,APPARTEMENT,21.0,1.0,2.35272,48.85786
2024-1215375,27/03/2024,"17500,00",RUE DE PICPUS,12, Dépendance,,0.0,2.40251,48.83521
2024-1199319,06.05.2024,"174000,00",RUE ALEXANDRE DUMAS,20, Appartement,20.0,1.0,2.3993,48.8551
2024-1225038,11/10/2024,"195000,00",VIL DE L ASTROLABE,15,APPARTEMENT,20.0,1.0,2.31958,48.84405
2024-1227017,25/11/2024,"412500,00",RUE DES VOLONTAIRES,15,Appartement ,55.0,3.0,2.30716,48.84199
2024-1223124,06/09/2024,"570000,00",AV DE CHOISY,13,Appartement,85.0,4.0,2.3574,48.83038
2024-1209120,03/12/2024,"7900000,00",RUE DES MATHURINS,8, Dépendance,,0.0,2.32564,48.87308
2024-1213034,20.02.2024,"403750,00",RUE SAINT CHARLES,15,Dépendance ,,0.0,2.28904,48.85099
2024-1196229,08/03/2024,"320500,00",RUE DES TOURNELLES,3, Appartement,30.0,2.0,2.36707,48.85628
2024-1214082,06/03/2024,"554650,00",RUE DE LA FONTAINE AU ROI,11,Dépendance,,0.0,2.37816,48.8692
2024-1212099,07/02/2024,"470000,00",RUE PERNETY,14, Appartement,52.0,2.0,2.3178,48.83458
2024-1226057,24/10/2024,"335000,00",RUE SAINT NICOLAS,12, Dépendance,,0.0,2.37436,48.85022
2024-1213792,27.02.2024,"650000,00",RUE ALEXANDRE DUMAS,11,Local industriel. commercial ou assimilé,100.0,0.0,2.39005,48.85288
2024-1194264,22.01.2024,"855500,00",RUE DE L ECHIQUIER,10,APPARTEMENT,97.0,4.0,2.34874,48.87162
2024-1205732,18/09/2024,"270800,00",RUE NICOLAS CHUQUET,17, Dépendance,,0.0,2.30299,48.88868
2024-1198854,17.05.2024,"797000,00 €",RUE EUGENIE LEGRAND,20,Dépendance,,0.0,2.39915,48.86212
2024-1196934,18/03/2024,"854000,00",RUE ST VINCENT DE PAUL,10,Dépendance ,,0.0,2.35263,48.88096
2024-1212287,23.01.2024,"1310000,00",RUE DE BOULAINVILLIERS,16,Dépendance,,0.0,2.27536,48.85736
2024-1211018,25/01/2024,"333600,00",RUE DE L AMIRAL COURBET,16,Dépendance ,,0.0,2.28339,48.86936
2024-1217737,05.06.2024,"245000,00",RUE DE L ABBE GROULT,15,Dépendance ,,0.0,2.30007,48.83693
2024-1219656,09/07/2024,"325000,00",RUE LALO,16,Appartement,28.0,2.0,2.2802,48.87416
2024-1202959,04/07/2024,"1065000,00",RUE EMILE LANDRIN,20, Maison,129.0,8.0,2.3985,48.86361
2024-1195109,16/02/2024,"1335400,00 €",RUE D ARTOIS,8,Dépendance ,,0.0,2.30604,48.87422
2024-1212212,21/02/2024,"810900,00",RUE SAINT JACQUES,5,Local industriel. commercial ou assimilé ,80.0,0.0,2.34552,48.84996
2024-1202883,10/07/2024,"100048,00",RUE DU CIRQUE,8,Appartement,12.0,1.0,2.31478,48.87094
2024-1205478,16.09.2024,"296700,00",RUE LA GRANGE AUX BELLES,10,DÉPENDANCE,,0.0,2.36489,48.8734
2024-1211319,24/01/2024,"278000,00",BD DE CHARONNE,11,APPARTEMENT,27.0,2.0,2.39424,48.85604
2024-1210605,09/01/2024,"140600,00",RUE OBERKAMPF,11,Appartement ,12.0,1.0,2.37914,48.86508
2024-1219925,25.06.2024,"871500,00",AV FELIX FAURE,15, Dépendance,,0.0,2.28105,48.83911
2024-1224354,30/09/2024,"1370000,00",RUE JACOB,6,DÉPENDANCE,,0.0,2.33472,48.8555
2024-1196684,18/03/2024,"275000,00",RUE DULONG,17,Appartement,30.0,2.0,2.31477,48.88615
2024-1220059,12.07.2024,"3400000,00 €",AV BOSQUET,7,Appartement ,130.0,5.0,2.30297,48.86084
2024-1219226,07/06/2024,"26000,00",RUE D ALESIA,14, Dépendance,,0.0,2.31594,48.83091
2024-1199751,27.05.2024,"190647,00",AV JEAN JAURES,19,Dépendance ,,0.0,2.37411,48.8844
2024-1200750,12/06/2024,"2000,00",RUE ALPHONSE DE NEUVILLE,17, Appartement,23.0,1.0,2.30263,48.88545
2024-1196260,01.03.2024,"3390000,00",RUE D ORSEL,18,Appartement,87.0,4.0,2.34088,48.88331
2024-1194824,20.02.2024,"592500,00",RUE CAVENDISH,19,Appartement ,63.0,3.0,2.37921,48.88361
2024-1226799,21/11/2024,"258000,00",RUE DE GERGOVIE,14,Appartement ,30.0,3.0,2.31606,48.83344
2024-1199534,31/05/2024,"32000000,00",RUE VIVIENNE,2,Appartement ,131.0,4.0,2.33986,48.86752
2024-1201916,03.07.2024,"231000,00",AV DE SAINT OUEN,18,Appartement ,28.0,2.0,2.32928,48.89704
2024-1202728,18.07.2024,"35000,00",RUE CARDINET,17,Dépendance,,0.0,2.30581,48.88287
2024-1210256,16/12/2024,"360000,00",RUE DES BOIS,19, Dépendance,,0.0,2.39958,48.87816
2024-1202025,04.07.2024,"1100000,00",RUE HELENE,17, Dépendance,,0.0,2.32544,48.88638
2024-1226701,18.11.2024,"425000,00 €",AV DE VERSAILLES,16,LOCAL INDUSTRIEL. COMMERCIAL OU ASSIMILÉ,35.0,0.0,2.2608,48.8394
2024-1197799,19/04/2024,"325000,00",RUE EUGENE CARRIERE,18,Appartement ,35.0,1.0,2.33209,48.88864
2024-1202555,12.07.2024,"838554,00 €",BD BEAUMARCHAIS,3, Appartement,80.0,4.0,2.367,48.85975
2024-1199974,29/05/2024,"340000,00",RUE DE FONTARABIE,20,APPARTEMENT,39.0,2.0,2.40027,48.85772
2024-1228243,29/11/2024,"543000,00 €",BD VICTOR,15,APPARTEMENT,66.0,3.0,2.27897,48.83551
2024-1199050,23/05/2024,"365000,00",AV DE WAGRAM,17,Appartement,35.0,1.0,2.30322,48.88561
2024-1220785,12/07/2024,"781050,00 €",RUE FAUSTIN HELIE,16, Dépendance,,0.0,2.27555,48.85936
2024-1227218,26/11/2024,"225000,00",RUE SAINT SABIN,11,Appartement,22.0,1.0,2.36931,48.85764
2024-1217428,22/05/2024,"2000,00 €",PAS DU CHEMIN VERT,11, Dépendance,,0.0,2.37492,48.85948
2024-1222926,09.09.2024,"885000,00",AV DE SUFFREN,15,Dépendance,,0.0,2.30461,48.84839
2024-1217868,03/06/2024,"262500,00",RUE GUTENBERG,15,Dépendance,,0.0,2.27982,48.8422
2024-1217431,30/05/2024,"6800000,00",RUE LOUIS DAVID,16,Appartement ,67.0,2.0,2.28067,48.86111
2024-1207580,04.11.2024,"614000,00",COUR DES PETITES ECURIES,10,Dépendance ,,0.0,2.35257,48.8728
2024-1204642,05.09.2024,"238570,00",RUE DU POLE NORD,18,Dépendance ,,0.0,2.339,48.89395
2024-1201699,02/07/2024,"165000,00",RUE DE L OURCQ,19,Appartement ,16.0,1.0,2.37712,48.89243
2024-1210411,30/12/2024,"287000,00",RUE D AVRON,20, Appartement,30.0,1.0,2.40097,48.85151
2024-1202319,15/07/2024,"295000,00",RUE CYRANO DE BERGERAC,18,Appartement ,40.0,2.0,2.34194,48.89078
2024-1222356,22.08.2024,"191662,00 €",RUE DU LAOS,15,Appartement ,33.0,1.0,2.30161,48.84935
2024-1207011,25/10/2024,"2500000,00",QUAI HENRI IV,4,Dépendance,,0.0,2.36419,48.84828
2024-1213890,07/03/2024,"445800,00",BD SOULT,12, Dépendance,,0.0,2.40889,48.84234
2024-1229247,26.12.2024,"325000,00",RUE RAYMOND LOSSERAND,14,Dépendance ,,0.0,2.3143,48.8322
2024-1215061,25/03/2024,"18000,00",RUE VERGNIAUD,13,Dépendance,,0.0,2.34366,48.82326
2024-1214705,08.04.2024,"141000,00 €",RUE BARRAULT,13,Dépendance ,,0.0,2.34789,48.82876
2024-1211340,17.01.2024,"299410,00",RUE SAINT MAUR,11,Dépendance ,,0.0,2.37746,48.86622
2024-1201448,01.07.2024,"15000,00",RUE SAINT FARGEAU,20,DÉPENDANCE,,0.0,2.40615,48.87254
2024-1200968,05/06/2024,"385000,00",RUE LOUIS BLANC,10, Dépendance,,0.0,2.36665,48.88047
2024-1205397,26/09/2024,"1571500,00",RUE JEAN JACQUES ROUSSEAU,1,Appartement,99.0,4.0,2.34392,48.86395
2024-1206241,11/10/2024,"122668,67 €",RUE CHARLES FRIEDEL,20,Appartement,20.0,1.0,2.39504,48.87285
2024-1225199,11.10.2024,"2279500,00",RUE GUENEGAUD,6, Appartement,125.0,5.0,2.33917,48.85579
2024-1220060,10.07.2024,"1393200,00",BD JULES SANDEAU,16,Dépendance ,,0.0,2.27227,48.86233
2024-1209334,19/12/2024,"18600000,00",RUE DES BALKANS,20, Appartement,55.0,2.0,2.40625,48.8611
2024-1218061,11.06.2024,"860000,00",BD SAINT MICHEL,5,Local industriel. commercial ou assimilé ,137.0,0.0,2.34262,48.8496
2024-1202108,27/06/2024,"400000,00",RUE DES COUTURES SAINT GERVAIS,3,APPARTEMENT,47.0,2.0,2.36253,48.86015
2024-1214834,23/02/2024,"571450,00",RUE DU GAL DE LARMINAT,15, Appartement,39.0,2.0,2.29806,48.85009
2024-1193581,05.01.2024,"1896800,00",RUE DE PROVENCE,9,Appartement ,5.0,1.0,2.33603,48.8744
2024-1217174,22/05/2024,"180000,00",RUE DU CHEMIN VERT,11, Appartement,22.0,1.0,2.3871,48.86258
2024-1227122,12/11/2024,"866000,00",RUE WILHEM,16,Appartement,75.0,3.0,2.27116,48.8462
2024-1228833,20/12/2024,"2000000,00",AV RECTEUR POINCARE,16,Dépendance,,0.0,2.27243,48.85285
2024-1203598,31/07/2024,"375000,00",RUE PELLEPORT,20,Dépendance,,0.0,2.40142,48.86933
2024-1223800,17/09/2024,"761150,00",RUE LOUIS DAVID,16,DÉPENDANCE,,0.0,2.28166,48.86155
2024-1203528,16.07.2024,"72000,00",RUE DE LEVIS,17,Dépendance,,0.0,2.31421,48.88382
2024-1225294,15/10/2024,"32000000,00 €",AV DES GOBELINS,13,Appartement ,34.0,2.0,2.35218,48.83528
2024-1228546,26.12.2024,"1052200,00",AV DE TOURVILLE,7,Appartement,66.0,4.0,2.30676,48.85446
2024-1200735,27/05/2024,"673000,00",BD PEREIRE,17, Appartement,65.0,3.0,2.29666,48.8843
2024-1211942,12.02.2024,"200000,00",RUE CORIOLIS,12, Dépendance,,0.0,2.39212,48.83546
2024-1199866,07.06.2024,"165000,00",AV DE WAGRAM,17,DÉPENDANCE,,0.0,2.2992,48.88
2024-1225942,04.11.2024,"784400,00",RUE DU SAHEL,12, Appartement,70.0,4.0,2.40523,48.841
2024-1212633,14/02/2024,"8300000,00",RUE NATIONALE,13,Dépendance,,0.0,2.36227,48.83194
2024-1205973,30.09.2024,"273630,00",RUE STEPHENSON,18,APPARTEMENT,30.0,2.0,2.35613,48.88897
2024-1193759,05/01/2024,"305000,00",RUE EUGENE CARRIERE,18,Dépendance ,,0.0,2.33266,48.89316
2024-1215371,12/04/2024,"1200000,00",RUE BOULARD,14, Dépendance,,0.0,2.32818,48.83237
2024-1204274,05.09.2024,"265000,00 €",RUE SAINT LUC,18,APPARTEMENT,41.0,2.0,2.35385,48.88638
2024-1197838,02/04/2024,"2471276,50",RUE DE CRIMEE,19, Local industriel. commercial ou assimilé,740.0,0.0,2.3745,48.8924
2024-1225459,08/10/2024,"198500,00",RUE DU PERE CORENTIN,14, Appartement,22.0,1.0,2.3284,48.82489
2024-1205164,09.07.2024,"610000,00",RUE BOTZARIS,19, Dépendance,,0.0,2.38149,48.87663
2024-1208210,15.11.2024,"657903,00",RUE CARDINET,17,DÉPENDANCE,,0.0,2.30391,48.88178
2024-1229241,20.12.2024,"262000,00",RUE PHILIBERT LUCOT,13,Dépendance ,,0.0,2.36185,48.8225
2024-1194533,31.01.2024,"285000,00",RUE CHAMPIONNET,18, Appartement,32.0,2.0,2.33092,48.89416
2024-1208276,31.10.2024,"394000,00",RUE CAVALLOTTI,18,APPARTEMENT,44.0,2.0,2.32869,48.88619
2024-1218951,29/05/2024,"217000,00",RUE DAGUERRE,14,APPARTEMENT,23.0,1.0,2.32502,48.83528
2024-1207544,08/11/2024,"295000,00",RUE DU FBG ST MARTIN,10,APPARTEMENT,30.0,2.0,2.35571,48.87022
2024-1197066,28/03/2024,"300000,00",VLA DES TULIPES,18,APPARTEMENT,45.0,2.0,2.34192,48.8975
2024-1219519,01.07.2024,"294000,00",RUE VIALA,15,Appartement ,32.0,3.0,2.28972,48.84999
2024-1223573,03/09/2024,"694000,00",AV EMILE ZOLA,15,DÉPENDANCE,,0.0,2.28449,48.84619
2024-1215309,12.04.2024,"20000,00 €",RUE LECOURBE,15,Dépendance ,,0.0,2.30873,48.84503
2024-1220740,12/07/2024,"967100,00",RUE DE LA COMETE,7, Dépendance,,0.0,2.3091,48.85831
2024-1207134,31/10/2024,"234000,00",PAS POUCHET,17, Dépendance,,0.0,2.32173,48.89654
2024-1226478,07/11/2024,"271000,00",BD MURAT,16,Appartement,30.0,2.0,2.26072,48.83719
2024-1214136,20/03/2024,"1000,00 €",RUE GREUZE,16,DÉPENDANCE,,0.0,2.28328,48.86396
2024-1215032,04/04/2024,"461500,00",CAR DE L ODEON,6, Appartement,38.0,2.0,2.33887,48.85203
2024-1226047,05/11/2024,"620000,00 €",RUE JEANNE D ARC,13,DÉPENDANCE,,0.0,2.35754,48.8378
2024-1226767,07/11/2024,"475000,00",BD SOULT,12,Appartement ,65.0,3.0,2.40808,48.8396
2024-1209850,19/12/2024,"1177803,00",AV DE WAGRAM,17,APPARTEMENT,47.0,1.0,2.30296,48.88382
2024-1211655,31.01.2024,"350000,00",RUE CASSINI,14,Dépendance,,0.0,2.33705,48.83697
2024-1206046,30/09/2024,"239400,00",RUE DULONG,17, Appartement,20.0,1.0,2.31739,48.88379
2024-1197139,27/03/2024,"824000,00",RUE DE MIROMESNIL,8,Appartement,84.0,4.0,2.31632,48.87362
2024-1226678,18/11/2024,"132000,00 €",RUE KELLER,11, Appartement,18.0,1.0,2.37574,48.85536
2024-1225925,06/11/2024,"356250,00",RUE GEOFFROY ST HILAIRE,5,Dépendance,,0.0,2.35709,48.83912
2024-1218086,14/06/2024,"400000,00",RUE LIANCOURT,14, Appartement,50.0,2.0,2.32493,48.83501
2024-1212182,09.02.2024,"1179075,00",IMP ERARD,12,Appartement,112.0,5.0,2.38405,48.84584
2024-1209939,16.12.2024,"245000,00",RUE DES EPINETTES,17,APPARTEMENT,64.0,3.0,2.3231,48.89565
2024-1210229,17.12.2024,"14000000,00",RUE LA BOETIE,8,Local industriel. commercial ou assimilé ,130.0,0.0,2.31064,48.8726
2024-1225067,22.10.2024,"1047900,00",RUE DU THEATRE,15,APPARTEMENT,103.0,4.0,2.28806,48.84819
2024-1200577,13.06.2024,"636500,00",RUE VAUVENARGUES,18,Dépendance ,,0.0,2.33419,48.89296
2024-1196970,11/03/2024,"2850000,00",AV DE VILLIERS,17,LOCAL INDUSTRIEL. COMMERCIAL OU ASSIMILÉ,350.0,0.0,2.2948,48.88506
2024-1217031,21/05/2024,"480000,00",RUE DE L ESPERANCE,13,APPARTEMENT,34.0,2.0,2.34885,48.82712
2024-1199336,22/05/2024,"606000,00",RUE DE L ECHIQUIER,10,APPARTEMENT,30.0,1.0,2.34902,48.87135
2024-1214611,05.04.2024,"8160000,00",RUE VALETTE,5,Local industriel. commercial ou assimilé,15.0,0.0,2.34723,48.84779
2024-1206223,09.10.2024,"2800000,00",RUE DU FAUBOURG SAINT HONORE,8, Dépendance,,0.0,2.30603,48.87443
