client_id,ca,ncmd,nprod,anc,pays
12703,283.55,1,21,138,Allemagne
12704,2340.84,8,64,303,Finlande
12705,6868.29,9,228,367,Allemagne
12707,603.42,1,33,334,France
12710,1149.02,3,75,237,Allemagne
12713,848.55,1,38,308,Allemagne
12715,353.86,1,20,395,Suede
12717,1030.98,2,49,524,Grece
12719,644.95,2,34,250,France
12721,2656.13,6,133,641,France
12723,725.07,5,53,130,France
12727,3980.7,7,109,680,France
12728,836.33,4,38,532,France
12729,453.01,1,26,488,France
12733,383.95,1,22,295,Etats-Unis
12734,110.4,1,4,551,France
12735,779.57,2,38,615,France
12739,1013.04,2,38,297,Autre
12744,21279.29,7,178,497,Autre
12752,4366.78,1,53,148,Norvege
12753,21429.39,6,132,515,Japon
12754,3010.74,3,49,404,Japon
12756,112.08,1,4,207,Japon
12758,2791.59,2,84,549,Portugal
12759,1531.44,3,81,527,Pays-Bas
12762,1898.52,2,62,268,Portugal
12764,1693.88,1,45,461,Autre
12766,6989.63,7,205,749,Portugal
12770,1351.45,1,12,245,Japon
12772,892.47,1,55,196,Portugal
12775,1386.04,5,47,359,Pays-Bas
12783,2225.91,6,76,211,Portugal
12784,574.42,2,54,399,Portugal
12785,311.95,1,14,511,Portugal
12787,463.66,3,17,555,Pays-Bas
12789,91.85,1,4,263,Pays-Bas
12793,545.48,2,21,651,Portugal
12794,860.41,2,43,281,Portugal
12795,430.48,1,14,125,Portugal
12797,254.03,1,13,670,Portugal
12812,229.64,1,15,431,Japon
12816,572.2,2,27,282,Pologne
12817,166.04,1,4,592,Autriche
12818,1542.08,1,14,366,Autriche
12829,293.0,2,9,647,Royaume-Uni
12830,6814.64,6,13,486,Royaume-Uni
12851,135.18,1,43,276,Royaume-Uni
12865,1568.23,2,86,418,Autriche
12866,559.12,1,26,392,Belgique
12873,374.0,1,4,314,Royaume-Uni
12876,2218.02,2,67,235,Belgique
12913,2483.63,5,37,547,Royaume-Uni
12923,176.97,1,28,425,Royaume-Uni
12947,1603.99,6,83,424,Royaume-Uni
12987,558.7,2,27,379,Royaume-Uni
13006,81.57,1,4,337,Royaume-Uni
13072,177.15,1,7,347,Royaume-Uni
13075,919.61,1,22,417,Royaume-Uni
13098,28882.44,28,156,440,Royaume-Uni
13115,2294.78,4,88,507,Royaume-Uni
13120,30.6,1,1,470,Royaume-Uni
13161,112.75,1,8,532,Royaume-Uni
13176,492.84,1,66,117,Royaume-Uni
13182,121.18,1,11,230,Royaume-Uni
13217,533.98,3,3,498,Royaume-Uni
13224,2155.95,2,101,159,Royaume-Uni
13270,590.0,1,1,669,Royaume-Uni
13359,439.56,1,23,260,Royaume-Uni
13366,56.16,1,1,338,Royaume-Uni
13403,75.0,1,3,282,Royaume-Uni
13410,1003.06,5,15,464,Royaume-Uni
13466,307.9,1,17,308,Royaume-Uni
13468,5704.97,37,184,624,Royaume-Uni
13486,1122.41,3,69,211,Royaume-Uni
13492,1269.84,3,38,448,Suisse
13493,618.63,2,6,325,Suisse
13501,1340.32,1,52,548,Suisse
13505,4393.63,4,182,483,Suisse
13515,891.12,4,50,281,Royaume-Uni
13520,3624.35,6,49,674,Suisse
13532,210.31,1,66,199,Royaume-Uni
13562,1799.33,3,50,559,Royaume-Uni
13602,428.89,1,23,81,Royaume-Uni
13642,354.8,1,57,287,Royaume-Uni
13682,59.5,1,3,385,Royaume-Uni
13697,151.3,1,12,114,Royaume-Uni
13736,731.9,2,166,392,Royaume-Uni
13760,286.79,2,50,520,Royaume-Uni
13802,4599.42,3,55,369,Royaume-Uni
13805,924.6,2,10,400,Royaume-Uni
13810,1499.01,3,32,98,Allemagne
13814,1579.12,2,37,207,Allemagne
13817,382.98,2,20,586,Allemagne
13826,189.5,1,10,493,Royaume-Uni
13837,271.24,2,17,386,Royaume-Uni
13862,2209.36,8,97,452,Royaume-Uni
13876,122.7,1,7,433,Royaume-Uni
13877,117.24,1,3,481,Royaume-Uni
13890,1883.81,10,74,590,Royaume-Uni
13897,311.16,1,17,229,Royaume-Uni
13919,384.81,2,24,260,Danemark
13941,5112.96,5,24,617,Royaume-Uni
13969,9053.94,18,334,601,Royaume-Uni
13985,7060.13,15,108,382,Royaume-Uni
14001,2043.08,3,34,383,Royaume-Uni
14036,626.65,1,38,345,Royaume-Uni
14050,746.36,2,49,489,Royaume-Uni
14059,183.6,1,8,433,Royaume-Uni
14098,147.35,1,21,229,Royaume-Uni
14105,1266.23,1,74,426,Royaume-Uni
14138,982.38,2,40,376,Royaume-Uni
14139,415.82,1,26,72,Royaume-Uni
14156,117379.63,55,714,405,Irlande
14162,289.36,2,25,403,Royaume-Uni
14191,4684.76,13,145,415,Royaume-Uni
14236,490.86,2,15,640,Royaume-Uni
14237,161.0,1,9,569,Royaume-Uni
14241,213.7,1,10,360,Royaume-Uni
14250,1904.05,3,94,464,Royaume-Uni
14251,2879.7,5,37,122,Royaume-Uni
14277,4216.2,3,195,441,France
14297,1305.33,4,48,491,Royaume-Uni
14301,640.14,1,13,306,Royaume-Uni
14341,2182.28,8,109,641,Royaume-Uni
14367,9261.52,16,270,383,Royaume-Uni
14375,257.68,1,57,566,Royaume-Uni
14397,2612.96,19,18,346,Royaume-Uni
14423,265.2,1,3,436,Royaume-Uni
14427,363.34,2,16,271,Royaume-Uni
14439,2661.24,1,32,659,Grece
14467,598.76,4,67,488,Royaume-Uni
14493,2383.24,5,95,269,Royaume-Uni
14495,123.8,2,6,130,Royaume-Uni
14536,171.8,1,18,405,Royaume-Uni
14539,537.48,2,31,374,Royaume-Uni
14548,652.8,2,2,321,Royaume-Uni
14550,765.62,2,38,402,Royaume-Uni
14601,213.96,1,7,227,Royaume-Uni
14639,2984.49,6,138,417,Royaume-Uni
14647,243.22,1,24,322,Royaume-Uni
14740,1448.21,3,85,505,Royaume-Uni
14761,255.9,2,11,460,Royaume-Uni
14799,157.7,1,13,95,Royaume-Uni
14865,52.2,2,4,638,Royaume-Uni
14868,2953.59,8,96,502,Royaume-Uni
14881,255.4,1,17,67,Royaume-Uni
14895,11138.71,20,273,403,Royaume-Uni
14896,468.77,2,43,463,Royaume-Uni
14911,143825.06,201,1787,637,Irlande
14912,867.85,2,21,538,Italie
14913,1227.43,4,76,650,Royaume-Uni
14947,290.82,2,14,505,Royaume-Uni
14952,8099.49,11,117,671,Royaume-Uni
14963,1487.8,5,149,311,Royaume-Uni
14967,463.8,1,6,92,Royaume-Uni
14978,1931.42,5,136,576,Royaume-Uni
14998,429.87,2,70,607,Royaume-Uni
15030,518.28,2,7,658,Royaume-Uni
15032,4959.1,3,29,458,Royaume-Uni
15048,384.05,4,86,463,Royaume-Uni
15050,1782.09,3,68,86,Royaume-Uni
15058,2124.99,11,199,369,Royaume-Uni
15069,1109.53,1,70,401,Royaume-Uni
15088,1160.07,2,53,286,Royaume-Uni
15093,4597.02,6,52,520,Royaume-Uni
15106,1422.52,5,90,393,Royaume-Uni
15158,401.4,1,7,377,Royaume-Uni
15163,304.47,2,29,376,Royaume-Uni
15192,1044.32,3,36,688,Royaume-Uni
15198,193.64,2,10,509,Royaume-Uni
15210,331.18,1,20,352,Royaume-Uni
15211,894.41,2,52,446,Royaume-Uni
15213,328.35,2,22,710,Royaume-Uni
15256,98.45,1,6,402,Royaume-Uni
15258,623.16,2,32,334,Royaume-Uni
15312,924.85,4,42,603,Royaume-Uni
15325,162.29,1,47,309,Royaume-Uni
15332,1661.06,4,29,731,Autre
15363,326.0,1,16,475,Royaume-Uni
15376,1233.36,3,100,618,Royaume-Uni
15408,267.18,1,34,638,Royaume-Uni
15423,43.5,1,2,111,Royaume-Uni
15432,171.19,1,10,89,Royaume-Uni
15442,594.0,1,2,461,Royaume-Uni
15456,447.22,3,48,377,Royaume-Uni
15460,216.76,1,53,474,Royaume-Uni
15472,371.56,1,76,287,Royaume-Uni
15480,905.5,1,45,503,Autre
15537,110.92,1,24,559,Royaume-Uni
15563,1400.44,4,88,419,Royaume-Uni
15587,913.68,4,3,707,Royaume-Uni
15592,388.58,1,24,83,Royaume-Uni
15628,2870.24,9,85,665,Royaume-Uni
15720,598.73,1,128,362,Royaume-Uni
15739,449.12,1,8,422,Royaume-Uni
15745,1094.59,4,57,326,Royaume-Uni
15780,475.28,3,26,714,Royaume-Uni
15786,4932.2,3,257,161,Royaume-Uni
15793,965.61,3,6,476,Royaume-Uni
15835,954.09,4,47,518,Royaume-Uni
15856,16387.57,27,295,492,Royaume-Uni
15865,895.13,3,37,222,Royaume-Uni
15974,3442.15,7,141,597,Royaume-Uni
15976,430.94,2,83,354,Royaume-Uni
15985,1142.42,2,29,501,Royaume-Uni
15996,1060.68,6,103,530,Royaume-Uni
16007,1701.94,4,221,365,Royaume-Uni
16023,719.81,3,90,620,Royaume-Uni
16024,251.24,1,61,50,Royaume-Uni
16135,517.55,1,21,556,Royaume-Uni
16144,175.2,1,1,544,Royaume-Uni
16160,1025.44,2,20,237,Royaume-Uni
16239,414.2,2,18,294,Royaume-Uni
16253,3683.86,2,114,258,Royaume-Uni
16261,746.83,4,98,620,Royaume-Uni
16295,1328.55,4,70,443,Royaume-Uni
16311,616.26,2,35,146,Royaume-Uni
16320,1038.46,2,56,226,Autre
16325,594.24,3,14,294,Royaume-Uni
16345,575.41,1,35,71,Royaume-Uni
16369,1553.66,3,91,528,Royaume-Uni
16392,221.19,1,41,625,Royaume-Uni
16415,210.35,1,45,106,Royaume-Uni
16444,654.67,4,68,562,Royaume-Uni
16450,311.92,1,11,221,Royaume-Uni
16455,1841.18,7,69,518,Royaume-Uni
16485,363.65,1,41,317,Royaume-Uni
16506,90.3,2,3,328,Royaume-Uni
16520,1046.57,3,129,714,Royaume-Uni
16572,1009.6,3,40,293,Royaume-Uni
16614,506.19,1,26,261,Royaume-Uni
16619,226.21,1,14,375,Royaume-Uni
16650,518.42,1,24,195,Royaume-Uni
16666,118.98,1,32,418,Royaume-Uni
16767,5580.6,11,148,627,Royaume-Uni
16806,801.49,4,68,367,Royaume-Uni
16836,251.87,2,11,504,Royaume-Uni
16847,193.44,1,12,243,Royaume-Uni
16849,124.57,1,8,386,Royaume-Uni
16882,705.12,3,39,491,Royaume-Uni
16905,3102.43,7,117,429,Royaume-Uni
16910,1510.06,8,318,464,Royaume-Uni
16917,391.52,1,9,282,Royaume-Uni
16932,161.94,1,44,123,Royaume-Uni
16940,3049.88,3,226,381,Royaume-Uni
16948,435.02,3,15,437,Royaume-Uni
16969,650.41,3,42,244,Royaume-Uni
17010,195.36,1,11,26,Royaume-Uni
17018,920.1,2,15,596,Royaume-Uni
17040,449.73,1,15,524,Royaume-Uni
17049,5659.98,9,201,324,Royaume-Uni
17097,954.42,8,153,484,Espagne
17119,606.91,2,35,262,Royaume-Uni
17125,259.35,1,34,421,Royaume-Uni
17142,579.0,1,15,517,Royaume-Uni
17147,1714.59,4,68,617,Royaume-Uni
17155,251.7,2,19,409,Royaume-Uni
17172,317.76,1,15,245,Royaume-Uni
17212,226.85,1,4,333,Royaume-Uni
17232,421.52,2,30,359,Royaume-Uni
17245,171.45,1,9,525,Royaume-Uni
17252,353.86,2,86,197,Royaume-Uni
17274,111.98,1,24,321,Royaume-Uni
17339,243.36,2,9,399,Royaume-Uni
17348,1159.52,5,180,592,Royaume-Uni
17359,127.86,1,13,341,Royaume-Uni
17404,31906.82,15,111,413,Suede
17409,771.85,2,13,422,Royaume-Uni
17418,463.46,2,29,373,Royaume-Uni
17442,2248.56,6,96,517,Royaume-Uni
17443,534.24,1,1,590,Canada
17446,120.9,2,6,343,Royaume-Uni
17453,486.72,2,19,223,Royaume-Uni
17508,387.31,1,22,669,Grece
17516,768.08,5,113,406,Royaume-Uni
17555,483.26,2,101,387,Royaume-Uni
17566,901.21,2,113,220,Royaume-Uni
17573,380.6,3,24,296,Royaume-Uni
17633,1324.84,4,59,385,Royaume-Uni
17636,285.56,1,20,145,Royaume-Uni
17648,1797.5,4,81,631,Royaume-Uni
17649,868.49,1,52,346,Royaume-Uni
17676,1387.68,6,49,481,Royaume-Uni
17679,1992.11,2,29,469,Royaume-Uni
17694,283.12,1,15,510,Royaume-Uni
17774,1225.41,4,123,505,Royaume-Uni
17802,1285.04,3,102,382,Royaume-Uni
17828,1820.09,4,54,423,Autre
17829,889.24,1,30,520,Autre
17884,717.45,4,107,431,Royaume-Uni
17888,726.05,8,60,610,Royaume-Uni
17894,1119.81,8,127,702,Royaume-Uni
17913,411.6,2,55,398,Royaume-Uni
17921,826.52,4,114,555,Royaume-Uni
17932,1331.57,3,84,267,Royaume-Uni
17994,678.49,4,63,589,Royaume-Uni
18017,523.0,3,1,478,Royaume-Uni
18110,236.3,1,33,22,Royaume-Uni
18120,111.15,1,17,600,Royaume-Uni
18125,1142.99,4,164,383,Royaume-Uni
18127,348.73,3,41,371,Royaume-Uni
18151,653.35,2,38,362,Royaume-Uni
18156,734.94,2,100,742,Royaume-Uni
18210,2621.38,6,109,562,Royaume-Uni
18274,175.92,1,11,351,Royaume-Uni
