client_id,pays,segment,date_insc
12516,Allemagne,standard,2010-09-17
12517,Allemagne,premium,2010-05-22
12518,Allemagne,premium,2011-02-27
12519,Allemagne,occasionnel,2011-08-03
12520,Allemagne,premium,2010-04-12
12521,Allemagne,standard,2010-11-10
12523,France,premium,2010-04-07
12528,Allemagne,premium,2010-12-23
12530,Allemagne,premium,2010-09-04
12531,Allemagne,occasionnel,2011-01-22
12532,France,occasionnel,2010-12-11
12536,France,premium,2011-04-20
12539,Espagne,premium,2010-02-22
12540,Espagne,premium,2010-01-11
12541,Espagne,standard,2010-09-30
12546,Espagne,standard,2010-09-29
12547,Espagne,occasionnel,2010-11-08
12548,Espagne,occasionnel,2011-03-22
12551,Espagne,occasionnel,2010-03-19
12553,France,premium,2010-05-04
12556,Espagne,standard,2011-05-16
12559,Allemagne,standard,2010-02-25
12560,Allemagne,premium,2011-04-30
12565,Autre,occasionnel,2010-04-08
12569,Allemagne,premium,2011-03-29
12571,France,standard,2010-09-26
12572,Allemagne,standard,2010-12-09
12574,France,occasionnel,2010-03-22
12576,Pologne,standard,2010-05-18
12578,Italie,premium,2010-07-08
12579,France,occasionnel,2010-12-14
12583,France,premium,2010-08-12
12586,Italie,occasionnel,2011-01-14
12587,Finlande,occasionnel,2011-04-24
12588,Finlande,occasionnel,2011-04-30
12590,Allemagne,premium,2010-10-22
12592,Allemagne,occasionnel,2010-09-25
12593,France,occasionnel,2011-04-20
12594,Italie,premium,2010-11-26
12597,Espagne,premium,2010-12-08
12598,France,premium,2011-01-13
12600,Allemagne,premium,2010-06-10
12602,France,occasionnel,2011-01-18
12612,Allemagne,standard,2011-01-07
12614,Allemagne,occasionnel,2010-08-31
12615,France,premium,2010-07-17
12618,Italie,occasionnel,2011-04-06
12619,Allemagne,premium,2011-02-27
12620,France,standard,2010-07-17
12622,Allemagne,occasionnel,2010-09-03
12624,France,standard,2010-10-04
12626,Allemagne,premium,2010-06-05
12627,Allemagne,premium,2010-12-13
12631,Finlande,standard,2011-09-06
12633,Allemagne,premium,2010-07-16
12635,Allemagne,premium,2010-08-24
12637,France,premium,2010-09-20
12639,Suede,standard,2010-08-17
12640,France,standard,2011-09-06
12643,France,premium,2010-08-25
12644,Allemagne,occasionnel,2011-02-08
12645,Allemagne,premium,2009-12-30
12649,Allemagne,standard,2011-02-14
12650,France,occasionnel,2011-08-17
12652,France,standard,2010-08-01
12654,Allemagne,standard,2010-01-16
12656,France,premium,2010-05-14
12657,France,premium,2011-09-08
12660,France,occasionnel,2011-08-26
12667,Finlande,standard,2010-11-18
12668,Allemagne,premium,2010-11-25
12669,France,premium,2010-04-20
12672,France,occasionnel,2010-09-23
12673,Allemagne,standard,2010-01-15
12674,France,premium,2011-01-18
12678,France,premium,2010-06-30
12679,France,standard,2010-06-09
12680,France,standard,2011-06-28
12681,France,premium,2010-04-28
12683,France,premium,2010-05-21
12685,France,premium,2010-10-29
12686,France,occasionnel,2009-10-31
12688,Autre,premium,2010-11-25
12690,France,occasionnel,2010-12-05
12691,France,standard,2010-07-07
12694,France,standard,2010-12-24
12695,France,standard,2010-06-22
12701,Allemagne,standard,2010-12-03
12703,Allemagne,occasionnel,2011-07-24
12704,Finlande,premium,2011-02-09
12705,Allemagne,premium,2010-12-07
12707,France,standard,2011-01-09
12710,Allemagne,standard,2011-04-16
12713,Allemagne,standard,2011-02-04
12715,Suede,occasionnel,2010-11-09
12717,Grece,standard,2010-07-03
12719,France,standard,2011-04-03
12721,France,premium,2010-03-08
12723,France,standard,2011-08-01
12727,France,premium,2010-01-28
12728,France,standard,2010-06-25
12729,France,occasionnel,2010-08-08
12733,Etats-Unis,occasionnel,2011-02-17
12734,France,occasionnel,2010-06-06
12735,France,standard,2010-04-03
12739,Autre,standard,2011-02-15
12744,Autre,premium,2010-07-30
12752,Norvege,premium,2011-07-14
12753,Japon,premium,2010-07-12
12754,Japon,premium,2010-10-31
12756,Japon,occasionnel,2011-05-16
12758,Portugal,premium,2010-06-08
12759,Pays-Bas,premium,2010-06-30
12762,Portugal,premium,2011-03-16
12764,Autre,premium,2010-09-04
12766,Portugal,premium,2009-11-20
12770,Japon,standard,2011-04-08
12772,Portugal,standard,2011-05-27
12775,Pays-Bas,standard,2010-12-15
12783,Portugal,premium,2011-05-12
12784,Portugal,standard,2010-11-05
12785,Portugal,occasionnel,2010-07-16
12787,Pays-Bas,occasionnel,2010-06-02
12789,Pays-Bas,occasionnel,2011-03-21
12793,Portugal,standard,2010-02-26
12794,Portugal,standard,2011-03-03
12795,Portugal,occasionnel,2011-08-06
12797,Portugal,occasionnel,2010-02-07
12812,Japon,occasionnel,2010-10-04
12816,Pologne,standard,2011-03-02
12817,Autriche,occasionnel,2010-04-26
12818,Autriche,premium,2010-12-08
12829,Royaume-Uni,occasionnel,2010-03-02
12830,Royaume-Uni,premium,2010-08-10
12851,Royaume-Uni,occasionnel,2011-03-08
12865,Autriche,premium,2010-10-17
12866,Belgique,standard,2010-11-12
12873,Royaume-Uni,occasionnel,2011-01-29
12876,Belgique,premium,2011-04-18
12913,Royaume-Uni,premium,2010-06-10
12923,Royaume-Uni,occasionnel,2010-10-10
12947,Royaume-Uni,premium,2010-10-11
12987,Royaume-Uni,standard,2010-11-25
13006,Royaume-Uni,occasionnel,2011-01-06
13072,Royaume-Uni,occasionnel,2010-12-27
13075,Royaume-Uni,standard,2010-10-18
13098,Royaume-Uni,premium,2010-09-25
13115,Royaume-Uni,premium,2010-07-20
13120,Royaume-Uni,occasionnel,2010-08-26
13161,Royaume-Uni,occasionnel,2010-06-25
13176,Royaume-Uni,standard,2011-08-14
13182,Royaume-Uni,occasionnel,2011-04-23
13217,Royaume-Uni,standard,2010-07-29
13224,Royaume-Uni,premium,2011-07-03
13270,Royaume-Uni,standard,2010-02-08
13359,Royaume-Uni,occasionnel,2011-03-24
13366,Royaume-Uni,occasionnel,2011-01-05
13403,Royaume-Uni,occasionnel,2011-03-02
13410,Royaume-Uni,standard,2010-09-01
13466,Royaume-Uni,occasionnel,2011-02-04
13468,Royaume-Uni,premium,2010-03-25
13486,Royaume-Uni,standard,2011-05-12
13492,Suisse,standard,2010-09-17
13493,Suisse,standard,2011-01-18
13501,Suisse,standard,2010-06-09
13505,Suisse,premium,2010-08-13
13515,Royaume-Uni,standard,2011-03-03
13520,Suisse,premium,2010-02-03
13532,Royaume-Uni,occasionnel,2011-05-24
13562,Royaume-Uni,premium,2010-05-29
13602,Royaume-Uni,occasionnel,2011-09-19
13642,Royaume-Uni,occasionnel,2011-02-25
13682,Royaume-Uni,occasionnel,2010-11-19
13697,Royaume-Uni,occasionnel,2011-08-17
13736,Royaume-Uni,standard,2010-11-12
13760,Royaume-Uni,occasionnel,2010-07-07
13802,Royaume-Uni,premium,2010-12-05
13805,Royaume-Uni,standard,2010-11-04
13810,Allemagne,premium,2011-09-02
13814,Allemagne,premium,2011-05-16
13817,Allemagne,occasionnel,2010-05-02
13826,Royaume-Uni,occasionnel,2010-08-03
13837,Royaume-Uni,occasionnel,2010-11-18
13862,Royaume-Uni,premium,2010-09-13
13876,Royaume-Uni,occasionnel,2010-10-02
13877,Royaume-Uni,occasionnel,2010-08-15
13890,Royaume-Uni,premium,2010-04-28
13897,Royaume-Uni,occasionnel,2011-04-24
13919,Danemark,occasionnel,2011-03-24
13941,Royaume-Uni,premium,2010-04-01
13969,Royaume-Uni,premium,2010-04-17
13985,Royaume-Uni,premium,2010-11-22
14001,Royaume-Uni,premium,2010-11-21
14036,Royaume-Uni,standard,2010-12-29
14050,Royaume-Uni,standard,2010-08-07
14059,Royaume-Uni,occasionnel,2010-10-02
14098,Royaume-Uni,occasionnel,2011-04-24
14105,Royaume-Uni,standard,2010-10-09
14138,Royaume-Uni,standard,2010-11-28
14139,Royaume-Uni,occasionnel,2011-09-28
14156,Irlande,premium,2010-10-30
14162,Royaume-Uni,occasionnel,2010-11-01
14191,Royaume-Uni,premium,2010-10-20
14236,Royaume-Uni,standard,2010-03-09
14237,Royaume-Uni,occasionnel,2010-05-19
14241,Royaume-Uni,occasionnel,2010-12-14
14250,Royaume-Uni,premium,2010-09-01
14251,Royaume-Uni,premium,2011-08-09
14277,France,premium,2010-09-24
14297,Royaume-Uni,standard,2010-08-05
14301,Royaume-Uni,standard,2011-02-06
14341,Royaume-Uni,premium,2010-03-08
14367,Royaume-Uni,premium,2010-11-21
14375,Royaume-Uni,occasionnel,2010-05-22
14397,Royaume-Uni,premium,2010-12-28
14423,Royaume-Uni,occasionnel,2010-09-29
14427,Royaume-Uni,occasionnel,2011-03-13
14439,Grece,premium,2010-02-18
14467,Royaume-Uni,standard,2010-08-08
14493,Royaume-Uni,premium,2011-03-15
14495,Royaume-Uni,occasionnel,2011-08-01
14536,Royaume-Uni,occasionnel,2010-10-30
14539,Royaume-Uni,standard,2010-11-30
14548,Royaume-Uni,standard,2011-01-22
14550,Royaume-Uni,standard,2010-11-02
14601,Royaume-Uni,occasionnel,2011-04-26
14639,Royaume-Uni,premium,2010-10-18
14647,Royaume-Uni,occasionnel,2011-01-21
14740,Royaume-Uni,premium,2010-07-22
14761,Royaume-Uni,occasionnel,2010-09-05
14799,Royaume-Uni,occasionnel,2011-09-05
14865,Royaume-Uni,occasionnel,2010-03-11
14868,Royaume-Uni,premium,2010-07-25
14881,Royaume-Uni,occasionnel,2011-10-03
14895,Royaume-Uni,premium,2010-11-01
14896,Royaume-Uni,occasionnel,2010-09-02
14911,Irlande,premium,2010-03-12
14912,Italie,standard,2010-06-19
14913,Royaume-Uni,standard,2010-02-27
14947,Royaume-Uni,occasionnel,2010-07-22
14952,Royaume-Uni,premium,2010-02-06
14963,Royaume-Uni,premium,2011-02-01
14967,Royaume-Uni,occasionnel,2011-09-08
14978,Royaume-Uni,premium,2010-05-12
14998,Royaume-Uni,occasionnel,2010-04-11
15030,Royaume-Uni,standard,2010-02-19
15032,Royaume-Uni,premium,2010-09-07
15048,Royaume-Uni,occasionnel,2010-09-02
15050,Royaume-Uni,premium,2011-09-14
15058,Royaume-Uni,premium,2010-12-05
15069,Royaume-Uni,standard,2010-11-03
15088,Royaume-Uni,standard,2011-02-26
15093,Royaume-Uni,premium,2010-07-07
15106,Royaume-Uni,premium,2010-11-11
15158,Royaume-Uni,occasionnel,2010-11-27
15163,Royaume-Uni,occasionnel,2010-11-28
15192,Royaume-Uni,standard,2010-01-20
15198,Royaume-Uni,occasionnel,2010-07-18
15210,Royaume-Uni,occasionnel,2010-12-22
15211,Royaume-Uni,standard,2010-09-19
15213,Royaume-Uni,occasionnel,2009-12-29
15256,Royaume-Uni,occasionnel,2010-11-02
15258,Royaume-Uni,standard,2011-01-09
15312,Royaume-Uni,standard,2010-04-15
15325,Royaume-Uni,occasionnel,2011-02-03
15332,Autre,premium,2009-12-08
15363,Royaume-Uni,occasionnel,2010-08-21
15376,Royaume-Uni,standard,2010-03-31
15408,Royaume-Uni,occasionnel,2010-03-11
15423,Royaume-Uni,occasionnel,2011-08-20
15432,Royaume-Uni,occasionnel,2011-09-11
15442,Royaume-Uni,standard,2010-09-04
15456,Royaume-Uni,occasionnel,2010-11-27
15460,Royaume-Uni,occasionnel,2010-08-22
15472,Royaume-Uni,occasionnel,2011-02-25
15480,Autre,standard,2010-07-24
15537,Royaume-Uni,occasionnel,2010-05-29
15563,Royaume-Uni,standard,2010-10-16
15587,Royaume-Uni,standard,2010-01-01
15592,Royaume-Uni,occasionnel,2011-09-17
15628,Royaume-Uni,premium,2010-02-12
15720,Royaume-Uni,standard,2010-12-12
15739,Royaume-Uni,occasionnel,2010-10-13
15745,Royaume-Uni,standard,2011-01-17
15780,Royaume-Uni,occasionnel,2009-12-25
15786,Royaume-Uni,premium,2011-07-01
15793,Royaume-Uni,standard,2010-08-20
15835,Royaume-Uni,standard,2010-07-09
15856,Royaume-Uni,premium,2010-08-04
15865,Royaume-Uni,standard,2011-05-01
15974,Royaume-Uni,premium,2010-04-21
15976,Royaume-Uni,occasionnel,2010-12-20
15985,Royaume-Uni,standard,2010-07-26
15996,Royaume-Uni,standard,2010-06-27
16007,Royaume-Uni,premium,2010-12-09
16023,Royaume-Uni,standard,2010-03-29
16024,Royaume-Uni,occasionnel,2011-10-20
16135,Royaume-Uni,standard,2010-06-01
16144,Royaume-Uni,occasionnel,2010-06-13
16160,Royaume-Uni,standard,2011-04-16
16239,Royaume-Uni,occasionnel,2011-02-18
16253,Royaume-Uni,premium,2011-03-26
16261,Royaume-Uni,standard,2010-03-29
16295,Royaume-Uni,standard,2010-09-22
16311,Royaume-Uni,standard,2011-07-16
16320,Autre,standard,2011-04-27
16325,Royaume-Uni,standard,2011-02-18
16345,Royaume-Uni,standard,2011-09-29
16369,Royaume-Uni,premium,2010-06-29
16392,Royaume-Uni,occasionnel,2010-03-24
16415,Royaume-Uni,occasionnel,2011-08-25
16444,Royaume-Uni,standard,2010-05-26
16450,Royaume-Uni,occasionnel,2011-05-02
16455,Royaume-Uni,premium,2010-07-09
16485,Royaume-Uni,occasionnel,2011-01-26
16506,Royaume-Uni,occasionnel,2011-01-15
16520,Royaume-Uni,standard,2009-12-25
16572,Royaume-Uni,standard,2011-02-19
16614,Royaume-Uni,standard,2011-03-23
16619,Royaume-Uni,occasionnel,2010-11-29
16650,Royaume-Uni,standard,2011-05-28
16666,Royaume-Uni,occasionnel,2010-10-17
16767,Royaume-Uni,premium,2010-03-22
16806,Royaume-Uni,standard,2010-12-07
16836,Royaume-Uni,occasionnel,2010-07-23
16847,Royaume-Uni,occasionnel,2011-04-10
16849,Royaume-Uni,occasionnel,2010-11-18
16882,Royaume-Uni,standard,2010-08-05
16905,Royaume-Uni,premium,2010-10-06
16910,Royaume-Uni,premium,2010-09-01
16917,Royaume-Uni,occasionnel,2011-03-02
16932,Royaume-Uni,occasionnel,2011-08-08
16940,Royaume-Uni,premium,2010-11-23
16948,Royaume-Uni,occasionnel,2010-09-28
16969,Royaume-Uni,standard,2011-04-09
17010,Royaume-Uni,occasionnel,2011-11-13
17018,Royaume-Uni,standard,2010-04-22
17040,Royaume-Uni,occasionnel,2010-07-03
17049,Royaume-Uni,premium,2011-01-19
17097,Espagne,standard,2010-08-12
17119,Royaume-Uni,standard,2011-03-22
17125,Royaume-Uni,occasionnel,2010-10-14
17142,Royaume-Uni,standard,2010-07-10
17147,Royaume-Uni,premium,2010-04-01
17155,Royaume-Uni,occasionnel,2010-10-26
17172,Royaume-Uni,occasionnel,2011-04-08
17212,Royaume-Uni,occasionnel,2011-01-10
17232,Royaume-Uni,occasionnel,2010-12-15
17245,Royaume-Uni,occasionnel,2010-07-02
17252,Royaume-Uni,occasionnel,2011-05-26
17274,Royaume-Uni,occasionnel,2011-01-22
17339,Royaume-Uni,occasionnel,2010-11-05
17348,Royaume-Uni,standard,2010-04-26
17359,Royaume-Uni,occasionnel,2011-01-02
17404,Suede,premium,2010-10-22
17409,Royaume-Uni,standard,2010-10-13
17418,Royaume-Uni,occasionnel,2010-12-01
17442,Royaume-Uni,premium,2010-07-10
17443,Canada,standard,2010-04-28
17446,Royaume-Uni,occasionnel,2010-12-31
17453,Royaume-Uni,standard,2011-04-30
17508,Grece,occasionnel,2010-02-08
17516,Royaume-Uni,standard,2010-10-29
17555,Royaume-Uni,standard,2010-11-17
17566,Royaume-Uni,standard,2011-05-03
17573,Royaume-Uni,occasionnel,2011-02-16
17633,Royaume-Uni,standard,2010-11-19
17636,Royaume-Uni,occasionnel,2011-07-17
17648,Royaume-Uni,premium,2010-03-18
17649,Royaume-Uni,standard,2010-12-28
17676,Royaume-Uni,standard,2010-08-15
17679,Royaume-Uni,premium,2010-08-27
17694,Royaume-Uni,occasionnel,2010-07-17
17774,Royaume-Uni,standard,2010-07-22
17802,Royaume-Uni,standard,2010-11-22
17828,Autre,premium,2010-10-12
17829,Autre,standard,2010-07-07
17884,Royaume-Uni,standard,2010-10-04
17888,Royaume-Uni,standard,2010-04-08
17894,Royaume-Uni,standard,2010-01-06
17913,Royaume-Uni,occasionnel,2010-11-06
17921,Royaume-Uni,standard,2010-06-02
17932,Royaume-Uni,standard,2011-03-17
17994,Royaume-Uni,standard,2010-04-29
18017,Royaume-Uni,standard,2010-08-18
18110,Royaume-Uni,occasionnel,2011-11-17
18120,Royaume-Uni,occasionnel,2010-04-18
18125,Royaume-Uni,standard,2010-11-21
18127,Royaume-Uni,occasionnel,2010-12-03
18151,Royaume-Uni,standard,2010-12-12
18156,Royaume-Uni,standard,2009-11-27
18210,Royaume-Uni,premium,2010-05-26
18274,Royaume-Uni,occasionnel,2010-12-23
